,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.02,0.04,160040,18.8,2.3,1.3,28451,0,0.94,14260,20.1%,1.1%,1.9%
Beijing Jiaotong University,0.09,0.14,378803,14.1,13.9,7.7,126542,19.9,0.96,54441,22.3%,14.4%,7.5%
UFG - Universidade Federal de Goiás,0.09,0.11,320109,13.1,4.2,2.6,32668,4.2,0.8,8782,24.5%,2.5%,0.4%
Mohammed V University of Rabat,0.11,0.53,71283,33.4,0.8,2.3,24507,0.8,0.83,13599,30.9%,0.7%,4.7%
Thammasat University,0.01,0.04,565252,10.9,3.4,1.5,68410,4.6,0.75,9459,31.9%,9.1%,1.3%
University of Calcutta,11.3,0.82,406681,25.4,9.8,1.5,100264,5.3,0.79,17392,19.6%,0%,0.6%
Kangwon National University,0.04,0.17,439870,21.3,1,6.3,72531,0,0.91,6024,25.4%,0.9%,3.1%
Prince of Songkla University,0.02,0.06,423614,15.6,0.9,2,36524,4.3,0.87,7439,37.7%,2.6%,1.7%
Kaunas University of Technology,0.04,0.08,192903,14.8,0.0,3.1,22255,0.0,0.74,8653,36%,2.1%,6.2%
Ankara University,0.06,0.09,258138,18.5,5.7,1.4,32434,13.1,0.85,2500,24.1%,2.8%,5%
"University of the Sunshine Coast, Australia",0.03,0.16,530687,28.5,2.6,8.5,58107,0.6,1.36,8875,48.2%,16.1%,18%
Chungnam National University,0.08,0.31,507194,20.5,7.9,7.1,160437,9.2,0.84,18247,24%,3%,4.1%
Obafemi Awolowo University (OAU),0.05,0.16,18316,23.5,7.7,2.1,6861,2.7,0.81,4980,39.7%,0.4%,0.1%
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.01,0.03,11,21.1,10.8,1.4,1,9.6,1,0,44.5%,4.4%,0.6%
Pusan National University,0.09,0.3,768728,18.4,13.1,10,217700,11.7,0.98,54453,24.5%,8.8%,9.4%
Universitas Padjadjaran,0.11,0.24,63296,15.3,5.9,0.7,12255,5.9,0.82,11894,24.9%,0.2%,1.3%
University of Sfax,0.17,0.35,9833,12.8,1.3,3.9,1752,4.4,0.84,0,49.5%,2%,1.5%
Khon Kaen University,0.05,0.15,799904,17.4,4.2,2.7,47672,6,0.86,36258,33.2%,4.8%,2%
Canterbury Christ Church University,0.02,0.1,279853,16.6,0,1.6,4593,4.5,1.05,83,19.7%,15.4%,12.6%
Universidad Nacional de Cordoba,0.04,0.04,50748,12.9,12.9,0.6,1125,15.1,0.91,839,43.3%,1.2%,1.9%
Ege University,0.09,0.25,497458,26.3,5.2,2.8,77348,2.8,0.8,4808,22.9%,0.6%,2.6%
Universidade Federal de São Carlos,0.19,0.27,302772,15.1,11.5,5.7,48664,9.9,0.86,14100,30%,2.1%,1.8%
De La Salle University,0.02,0.07,239600,16.4,4.5,1.8,27244,2.9,1,0,32.9%,1.5%,2.8%
Tamkang University,0.01,0.05,255343,24.5,9.2,3.1,26925,5,0.84,3665,30%,5%,7.9%
Marmara University,0.04,0.14,199171,31.1,2.7,1.5,4357,0,0.89,0,23%,2.8%,4.7%
Makerere University,0.01,0.05,171,20.8,9.3,2.7,92,8.8,1.62,86,75.2%,7.4%,3.5%
Universidade Estadual de Londrina,0.1,0.18,239690,15.3,6.8,1.4,99467,3.4,0.81,-,23%,1.1%,0.6%
University of Lethbridge,0.01,0.02,308328,12.7,1,3.2,17631,0,1.03,197,45.8%,13.7%,11%
Universidad Austral de Chile,0.02,0.03,248212,17.8,2.1,2.6,56854,3,0.98,19705,59.9%,8%,2.1%
Chapman University,0.19,0.45,705886,12.8,1.2,2.5,14563,1.4,1.22,5719,37%,2.1%,7.2%
University of Tunis El Manar,0.14,0.25,33101,8.9,2.1,3,12733,4.4,0.87,206,47.3%,2.7%,1.8%
Chungbuk National University,0.05,0.12,145705,14.8,2.9,4.4,63628,4.2,0.87,5313,24.8%,3.1%,3.3%
Kharazmi University,0.24,0.48,317476,19.2,1.7,3.9,34590,0,0.97,7267,22%,0%,1.4%
Universidad del Norte,0.01,0.02,354524,20.4,0.1,1.9,9976,0.1,0.91,2930,51.4%,8.9%,3.6%
Federal University of Viçosa,0.19,0.25,384952,12.3,13.5,6,41782,16.9,0.81,21362,24.3%,2.2%,1%
University of Central Lancashire,0.02,0.07,262551,14.2,1.2,2.8,8009,0.4,1.24,448,45.3%,13%,18.3%
University of Antioquia,0.02,0.06,621986,23.4,0.7,1.6,97651,1.7,0.85,13169,43.8%,2.7%,0.5%
University of Pecs,0.48,0.5,448726,11.7,1.8,2.3,33928,3.5,1.19,3116,42.3%,1.6%,23.7%
Universidade Federal da Bahia,0.3,0.14,270227,18.1,11.8,1.7,53457,6.6,0.89,-,28.4%,3.4%,0.3%
Worldwide: Top*,0.31,0.68,12493200,36.3,53.6,18,2299530,59.1,2.46,493852,83%,36%,38%
Worldwide: 75%,0.14,0.32,5349240,21.9,23,8.9,946657,24.8,1.56,201661,49.7%,15.6%,16.7%
Worldwide: Median,0.07,0.17,960974,16.1,7,5,172108,6.4,1.22,25550,37%,5.5%,7.3%
Worldwide: 25%,0.03,0.08,359134,12.2,2.1,2.7,39700,1.9,0.95,4210,26.7%,1.9%,2.4%
Worldwide: Bottom*,0,0,0,0.9,0,0,0,0,0.44,-70,5.9%,0%,0%
