,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,0,0,67420,18.7,0.0,14.6,118,0.0,1.15,10.5,1.1,61.19,118,9.38,35.2%,0%,2.2%,0
Chungnam National University,0.11,0.4,-,21.1,1.1,16.2,486451,1.4,0.91,20.21,1.18,86.67,40281,65.8,28.9%,2.6%,4.3%,0
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pusan National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
De La Salle University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,-,0.05,-,-,0,7.8,75010,0.8,1.12,7.96,1.28,44.12,-,6.07,48.2%,-,-,-
University of Pecs,0.03,0.04,384038,10,1.7,16.3,42845,3.4,1.11,13.68,1.12,66.53,10188,41.59,47.8%,1.4%,13.4%,0.01
Prince of Songkla University,0.05,0.09,201894,9.8,6.5,7.8,70911,7.8,0.94,14.1,1.21,72.37,32452,12.4,44.9%,1.9%,5.8%,0
Universidad Austral de Chile,0.11,0.1,217741,10.5,1.8,5.9,115288,3.1,1.04,9.48,1.24,48.43,41183,4.63,64%,11.1%,2.8%,0
"University of the Sunshine Coast, Australia",0.19,0.49,872571,33.5,1.1,22.9,287951,1.5,1.41,23.67,1.57,74.36,36898,4.39,63.7%,21.7%,9.7%,0
Ege University,0.06,0.17,498382,18,0.7,6.3,263051,3.9,0.89,9.11,1.02,70.05,221677,7.88,27.1%,0.9%,3.8%,0.01
UFG - Universidade Federal de Goiás,0.22,0.26,217710,13.4,2.3,7.9,95512,3.3,0.83,11.55,1,69.17,1388,6.34,29.7%,2%,1.1%,0
Kharazmi University,0.26,0.38,65951,16.7,2.2,7.3,7923,2.2,0.96,6.15,1.27,43.07,1135,3.82,36.3%,0%,1.2%,0
Makerere University,0.08,0.05,354,12.7,9.1,4.3,264,8.8,0.94,6.79,1.12,39.1,14,4.93,81.6%,17.7%,2.3%,0
Dokuz Eylul University,0,0,67420,18.7,0.0,14.6,118,0.0,1.15,10.5,1.1,61.19,118,9.38,35.2%,0%,2.2%,0
Thammasat University,0.01,0.02,292585,10.1,2.2,9.2,50086,5.9,0.74,5.21,0.88,60.47,2980,6.01,32.3%,1.6%,0.2%,0
Ankara University,0.05,0.06,260191,9.9,2.7,4.5,32122,4.3,0.96,8.89,1.06,61.48,18283,11.93,28.7%,2.2%,3.9%,0.01
Universidade Estadual de Londrina,0.24,0.31,151526,10.8,3.3,8.8,37286,4.5,0.79,9.97,1.03,72.26,24,6.27,24.3%,0.3%,0.8%,0.01
Universidade Federal da Bahia,0.14,0.17,346678,19.1,2.1,8.5,11106,4.1,0.88,12.42,1.06,64.65,-,6.95,33.2%,2.2%,0.3%,0
