,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,0.07,0.06,100800,12.5,0.8,8.7,12235,1.5,0.85,8.27,1.05,45.08,8799,3.41,22.8%,0%,4%,0
Chungnam National University,0.06,0.25,-,20.2,3.2,34,257490,3.3,0.87,32.64,1.12,77.9,15590,57.24,30.8%,2.2%,1.8%,0
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pusan National University,0.11,0.7,1193771,20.8,12.4,62.3,577113,16.5,1.03,67.52,1.28,92.96,32573,117.51,35.7%,7%,8.3%,0.01
De La Salle University,0.2,0.02,97111,6,6,9.3,4793,1.8,1.02,10.6,1.2,39.68,0,0.87,38.3%,1%,2%,0
University of Lethbridge,-,0.14,-,-,2.9,15.5,26016,0.7,1.02,10.76,1.08,36.24,-,4.33,54.7%,-,-,-
University of Pecs,0.2,0.11,204974,5.1,1,19.2,135908,1.7,0.73,10.41,0.9,49.9,8011,7.84,43%,0%,44.7%,0
Prince of Songkla University,0.04,0.06,231149,8.4,0.5,6.5,52154,1.5,1.02,14.09,1.34,40.38,27673,6.06,42.4%,1.6%,1.5%,0
Universidad Austral de Chile,0.18,0.04,219856,12.3,0.0,11.7,97876,0.0,1.15,14.34,1.34,30.98,38748,0.76,69.3%,15.4%,2.7%,0
"University of the Sunshine Coast, Australia",N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ege University,0.05,0.18,480067,25.4,0,16.8,64063,3.6,0.9,16.04,1.05,58.19,28213,11.36,31.8%,0%,2.9%,0.01
UFG - Universidade Federal de Goiás,0.23,0.17,165752,11.3,0.5,9.3,48784,0.6,0.96,11.2,1.03,42.31,1932,5.65,34.2%,3.5%,0.7%,0
Kharazmi University,0.22,0.21,42260,10.7,0.0,13.2,7817,0.0,1.06,18.05,1.28,48.07,1082,3.28,32.3%,0%,1.6%,0
Makerere University,0.01,0.02,208,7.5,0.6,3,49,1.6,1.11,5.08,1.3,18.09,20,0.45,73.8%,25.5%,3.4%,0
Dokuz Eylul University,0.07,0.06,100800,12.5,0.8,8.7,12235,1.5,0.85,8.27,1.05,45.08,8799,3.41,22.8%,0%,4%,0
Thammasat University,0.02,0.09,239387,15.9,2.9,17.4,54196,0.4,0.9,16.92,1.06,57.25,10479,4.25,38.1%,5.1%,1.1%,0.01
Ankara University,0.22,0.15,111086,12.8,3.8,5.7,12797,2.5,0.93,18.89,1.46,35.16,11814,5.8,44.6%,0.6%,3.8%,0
Universidade Estadual de Londrina,0.55,0.48,94295,11.9,1.6,9.6,22520,0.5,0.82,7.63,1.03,32.85,8687,1.62,25.7%,0.9%,1.8%,0
Universidade Federal da Bahia,0.15,0.1,113695,13,1.6,4.1,5122,1.7,0.73,5.98,0.95,32.34,-,3.17,30.7%,8.3%,0.3%,0
Universidad Nacional de Educacion a Distancia,0.1,0.15,-,40.7,0.3,12.5,-,0,1.12,12.21,1.08,42.62,-,10.42,40.1%,1.7%,2.9%,0
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.03,0.06,2,13,1.7,8.6,0,3.8,1.04,18.44,1.21,45.99,0,1.89,42.4%,3.7%,0%,0
Marmara University,0,0,345208,26.5,0.8,22.6,17082,0.8,1.16,31.02,1.58,51.7,2606,11.39,41.2%,1.5%,2.6%,0.02
University of Tunis El Manar,0.33,0.92,173083,10.7,9,26.2,109794,4.1,0.79,23.48,0.89,76.19,55604,9.84,61.7%,13.6%,5.9%,0.13
Obafemi Awolowo University (OAU),0.01,0.01,42105,17.8,2.6,10.2,2909,0.7,0.93,10,1.03,33.89,0,2.18,46.4%,0%,0%,0
Rowan University,0,0,565790,4.4,0.0,7.3,20720,0.0,1.3,8.06,1.34,26.31,740,9.15,39.2%,16%,3%,0
Chungbuk National University,0.06,0.16,346649,11.8,2.1,27.6,99606,0.5,0.82,20.94,1.06,68.49,10122,35.52,33.9%,0.6%,1.1%,0
Mohammed V University of Rabat,0.11,0.31,80657,25.5,13.9,9.6,44800,15.7,1.02,30.21,1.43,55.49,23208,5.14,46.5%,0.3%,1.5%,0.01
Kaunas University of Technology,0,0,169202,5.7,1,12.9,65237,2,1,16.92,1.24,46.42,13809,9.97,49.6%,1.6%,2.8%,0.03
Universidade Federal de São Carlos,0.41,0.32,232981,12.9,9.7,14.4,33095,8,0.93,20.03,1.15,62.36,281,18.5,33.9%,5.4%,1.5%,0
Tamkang University,0,0.01,187519,21.7,3.2,11.6,40460,4.4,1.16,15.71,1.24,41.62,2930,11.27,51.4%,3%,1.6%,0
University of Sfax,0.63,0.33,8297,8.1,3.2,12.5,2476,3.5,0.96,24.06,1.13,70,584,5.23,62.2%,0%,2.2%,0.02
Khon Kaen University,0.11,0.25,97205,13.8,0,13.7,50462,2.4,1.23,22.64,1.31,54.57,35517,3.71,38.4%,1.6%,0.9%,0.01
Chapman University,0,0,-,2.7,1.6,14.2,27632,2.9,1.1,10.65,1.39,30.16,0,1.6,61.9%,8.5%,8.1%,0
Universitas Sebelas Maret,0,0,161663,17.9,0.3,46.9,90090,0.8,0.94,42.33,1.35,94.5,67166,0.67,9.8%,25.3%,1.1%,0.01
Universitas Padjadjaran,0.06,0.1,105631,10.1,0.5,8,51906,0.7,0.92,13.54,1.13,51.84,8973,0.36,19.9%,9.9%,1%,0.01
Universidad Nacional de Cordoba,0.25,0.02,124908,10.9,3.5,7.6,1499,7.5,0.85,8.81,0.97,41.65,1499,6.97,52.6%,3.9%,2.4%,0
Universidad del Norte,0.11,0.06,96207,6.2,0.0,11.5,16155,0.0,0.92,8.12,1.17,28.25,6221,4.43,57.9%,6.1%,0%,0.41
Federal University of Viçosa,0.47,0.1,236374,4.6,0,8,33398,0.5,0.81,10.38,1.01,42.86,10439,3.79,26.9%,2.5%,2.3%,0
University of Antioquia,0.06,0.07,-,12.5,1,12.3,31728,0.1,0.96,20.3,1.4,44.32,209,4.38,59.5%,11.2%,0.3%,-
University of Calcutta,-,1.59,228485,10.2,20.6,16.4,78234,10.4,0.85,21.37,1.07,68.93,18540,8.5,21.1%,0%,0.6%,0
Kangwon National University,0.04,0.13,465544,15.6,0.0,41.5,130040,0.0,0.93,32.85,1.08,77.22,9431,37.92,29.3%,1.6%,0.5%,0
University of Central Lancashire,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
