,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,0.25,0.27,775267,9.2,1.1,1.8,661834,0,0.9,6.88,1.01,42.1,538531,4.24,22.2%,7.2%,2.2%,0
Chungnam National University,0.3,0.34,-,8.2,0,11.4,232780,1.1,1.17,19,1.16,76.29,22383,37.16,16.2%,2.3%,3%,0
Canterbury Christ Church University,0,0.02,-,17.8,0,4.5,7327,0.6,1.25,7.61,1.55,32.41,0,0.43,35.3%,6%,18.5%,-
Pusan National University,0.36,0.48,603444,10.1,4.6,36,232983,6.6,0.94,36.05,1.12,97.21,11649,54.4,16.8%,0%,1.4%,0.01
De La Salle University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,-,0.04,-,-,0.0,4.9,35986,0.0,1.21,6.77,1.41,34.51,-,7.55,42.6%,-,-,-
University of Pecs,1.39,0.97,1277728,13.2,3.3,5.1,79661,2.9,1.13,13.69,1.23,49.6,6534,23.32,46.3%,4.3%,38%,0
Prince of Songkla University,0.05,0.05,1021287,6.4,6,3.2,76768,6.5,0.88,7.68,1.01,50.66,45917,7.57,36.5%,1.1%,1.9%,0
Universidad Austral de Chile,0.01,0.01,156399,13.9,0,2.5,13991,0.1,0.91,4.14,1.15,21.32,6024,3.24,63.8%,0.9%,0.5%,0
"University of the Sunshine Coast, Australia",0.01,0.09,574364,27.1,1,12.9,101220,0.5,1.63,20.51,1.43,58.01,49307,2.65,48.4%,14.4%,20.8%,0
Ege University,0.46,1.08,1344543,13.6,2.2,6.3,90351,2.8,1.03,13.53,0.98,71.85,58151,11.35,23.4%,0.4%,3.9%,0
UFG - Universidade Federal de Goiás,0.25,0.33,179355,14.3,1.1,4.4,79646,0.6,1.15,9.86,1.1,48.54,1962,3.83,33.2%,0%,0.6%,0
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Makerere University,0,0,225,9.3,6.2,5.9,146,12,1.32,15.27,1.23,47.66,20,6.57,83.3%,10.8%,6%,0.06
Dokuz Eylul University,0.25,0.27,775267,9.2,1.1,1.8,661834,0,0.9,6.88,1.01,42.1,538531,4.24,22.2%,7.2%,2.2%,0
Thammasat University,0.03,0.03,668988,4.7,1.9,1.8,29308,3.7,0.82,4.35,1,32.66,6764,2.32,35.1%,2.2%,1%,0.01
Ankara University,0.05,0.05,180899,8.1,4,1.7,20674,6.9,1.11,8.19,0.99,48.1,13266,11.27,23.6%,0.8%,6.6%,0.01
Universidade Estadual de Londrina,0.1,0.1,420699,6.5,1.3,4,238831,1.1,0.96,7.42,1.13,44.44,84104,3.32,35.2%,0.2%,0.8%,0
Universidade Federal da Bahia,0.13,0.17,271894,12.3,3.2,3.1,8892,8.1,1.42,8.55,1,48,-,5.63,32.2%,0.7%,0.3%,0
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vietnam National University - Ho Chi Minh City (VNU-HCM),0,0,1,4.2,0.0,2.1,0,0.0,1.66,5.05,1.59,17.68,0,1.7,57.4%,0%,0.4%,0
Marmara University,0.04,0.07,223022,15.5,1.5,3.5,19498,1.6,0.97,9.78,0.98,56.48,26,8.69,22.5%,0.5%,5.6%,0
University of Tunis El Manar,0.58,0.53,87892,5.7,4.1,3.4,46330,4.6,1.18,6.27,0.72,64.31,29909,4.09,36.7%,1.6%,7.3%,0.01
Obafemi Awolowo University (OAU),0.01,0.01,20080,8.5,4,3.5,1387,4,1.47,6.27,0.91,41.18,0,1.98,48.3%,0%,0.1%,0
Rowan University,1.23,1.15,907672,9.1,0.0,7.2,25987,0.0,1.33,13.31,1.34,47.74,39,8.49,23.4%,9%,3.1%,0
Chungbuk National University,0.23,0.28,427842,8,1.1,11.8,132024,1.5,1.22,11.35,1.15,63.1,9897,29.77,18.4%,0%,1.3%,0
Mohammed V University of Rabat,7.85,2.24,127992,24.9,0,3.8,50644,0,0.77,6.31,0.77,47.81,14789,1.85,31.8%,0%,9.1%,0.01
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidade Federal de São Carlos,0.29,0.24,179230,9.3,5.5,11.3,19722,5.3,0.84,12.03,1.08,67.21,193,4.72,34.1%,1.1%,1.5%,0
Tamkang University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Sfax,0.73,0.46,5644,6.5,4.1,3.8,826,4.1,1.13,8.06,1.1,51.41,752,2.47,49%,0%,4.6%,0
Khon Kaen University,0.09,0.09,641489,7.5,8,3.4,52319,11.6,0.85,6.72,0.97,55.53,22217,5.01,36%,1%,3%,0.03
Chapman University,1.8,1.9,-,12.7,0.6,6.3,40100,1.1,1.39,9.17,1.52,32.45,657,3.72,32%,4.1%,6.2%,0
Universitas Sebelas Maret,0.13,0.09,77904,4.4,0.3,1.9,52583,0.7,1.83,1.88,0.68,19.21,50018,0,23.1%,4.8%,2.8%,0.04
Universitas Padjadjaran,0.19,0.23,83406,5.9,2,1.5,18706,3.6,0.76,4.03,0.75,33.5,9736,1.14,24.7%,7.5%,3.4%,0.01
Universidad Nacional de Cordoba,0.01,0.01,58069,13.6,0,0.4,2036,0.1,1.47,2.64,1.21,13.97,873,3.28,49.9%,1.3%,2.2%,0
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federal University of Viçosa,0.11,0.1,236629,9.1,1.1,7.8,236629,1,0.79,6.99,1.08,53.03,10449,2.08,28.9%,0%,0.8%,0
University of Antioquia,0.01,0.02,-,9.1,3.5,3.3,125403,5,1.09,8.62,0.95,47.81,13507,6.76,45.2%,0.7%,0.2%,-
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kangwon National University,0.08,0.18,297214,9.8,0.0,12.8,62786,0.0,0.97,15.25,1.09,68.08,3467,25.52,22.9%,0%,0.8%,0
University of Central Lancashire,0.01,0.02,-,15.2,1.8,4.1,9568,5.7,1.24,11.32,1.46,42.77,297,4.51,53.6%,12.6%,26.1%,-
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
