,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,0.02,0.13,99217,54.5,0,1.2,5123,1.6,1.35,2.55,1.35,54.42,2573,0,24.2%,0%,3.8%,0
Chungnam National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pusan National University,0.05,0.43,1496880,26.1,0.0,6.2,89486,0.0,1.82,10.52,2.25,70.39,14235,0.72,55.8%,5.7%,15.9%,0.02
De La Salle University,0.01,0.01,38006,23.4,2.2,1.2,18760,1.3,1.02,1.85,1.31,54.09,0,0,37.8%,1.1%,3.5%,0
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Pecs,0.01,0.02,770232,21.3,0.3,2.5,95210,0.7,0.67,1.09,0.79,55.76,2648,0,31.1%,0%,12.8%,0.01
Prince of Songkla University,0,0.02,469346,27.8,0.5,1.1,20814,1,1.16,1.85,1.37,43.67,4606,0,35.7%,13%,0.1%,0
Universidad Austral de Chile,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"University of the Sunshine Coast, Australia",0.02,0.1,413734,23.3,0,8.4,7098,0.8,1.25,6.25,1.65,75.41,573,0.16,50%,20.3%,18.1%,0
Ege University,0.03,0.34,459300,44.4,0.6,3.2,17339,1.3,1.16,2.85,1.18,60.82,8221,0.25,29.8%,1.7%,4.4%,0.05
UFG - Universidade Federal de Goiás,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kharazmi University,0.27,0.33,86498,21.9,0.0,1.9,6147,0.0,1.13,2.55,1.27,45.2,737,0,42.4%,0%,2.2%,0
Makerere University,0,0.09,401,41.3,2.3,1.1,38,2.7,0.95,1.22,1.25,49.06,1,0,45%,16.6%,1.8%,0
Dokuz Eylul University,0.02,0.13,99217,54.5,0,1.2,5123,1.6,1.35,2.55,1.35,54.42,2573,0,24.2%,0%,3.8%,0
Thammasat University,0,0.01,496993,16.4,0.4,1.8,178693,1.4,0.88,2.45,0.97,63.77,29280,0.12,39.7%,10.5%,0.8%,0.04
Ankara University,0.1,0.14,1106,16.2,1.2,1.4,136,0.5,0.76,0.9,0.89,44.32,104,0,28.4%,1.5%,7.7%,0
Universidade Estadual de Londrina,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidade Federal da Bahia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Educacion a Distancia,0.02,0.13,-,66.1,0.4,2.6,-,0.4,0.89,2.01,1.08,59.02,-,0.27,27.2%,0.8%,5.9%,0
Vietnam National University - Ho Chi Minh City (VNU-HCM),0,0.02,6,34,2.6,1.5,0,5.2,0.98,2.12,1.23,37.93,0,0,33.2%,1.5%,0.1%,0
Marmara University,0.02,0.12,251649,45.1,1,0.9,4521,3.5,0.96,1.57,1.05,41.71,1316,0.06,23.3%,0%,5.7%,0.01
University of Tunis El Manar,0.18,0.78,209766,19.6,0,3.6,122224,0.9,1.27,4.81,1.6,68.96,50923,0.09,46.7%,12%,7.2%,0.03
Obafemi Awolowo University (OAU),0.02,0.17,93398,39.5,0.5,3.9,6454,0.5,0.97,3.42,1.17,74.13,0,0.11,34.1%,0%,0.2%,0
Rowan University,0,0,612148,33.4,0.0,3.3,65,0.0,1.81,4.44,1.7,63.1,0,0.23,29.5%,23.4%,3%,0
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mohammed V University of Rabat,0.05,0.76,80417,96.6,0.0,1.5,43952,0.0,0.69,1.31,0.82,58.28,34276,0,27.3%,0%,2.6%,0
Kaunas University of Technology,0.03,0.1,147611,17,1.7,3.9,44350,5.4,1.05,3.8,1.1,69.46,5240,0,49.5%,1%,3%,0.01
Universidade Federal de São Carlos,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tamkang University,0.01,0.04,202434,29.4,1.1,1.5,9785,3.2,0.9,1.89,1.07,55.54,1149,0.06,32.7%,2.4%,9.7%,0
University of Sfax,0.09,0.34,12005,23.5,0,2.4,792,0.9,1.25,5.83,1.65,82.1,556,0.1,43.3%,0.8%,3.6%,0.01
Khon Kaen University,0.01,0.04,224898,35.4,0.3,2.2,32876,0.2,1.04,2.25,1.13,54.62,23697,0,37.4%,12.4%,3.8%,0
Chapman University,0,0,-,25.8,1.6,2.7,5522,6.8,0.95,1.57,1.13,58.06,773,3.34,37.1%,5.7%,7.7%,0
Universitas Sebelas Maret,0.06,0.14,109899,13.8,5.4,2.2,57848,5.7,0.64,1.33,0.74,58.67,39221,0,19.6%,17.9%,1.8%,0.03
Universitas Padjadjaran,0.19,0.23,93617,12.6,1.5,0.9,39359,3.5,0.7,1.19,0.9,43.82,12884,0,23%,9.3%,1.1%,0.01
Universidad Nacional de Cordoba,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federal University of Viçosa,0.08,0.07,237222,13.4,3,1.2,33517,3.7,0.7,0.84,0.99,44.63,10477,0,21.5%,0.7%,1%,0
University of Antioquia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Calcutta,-,0.31,160998,24.8,6.5,2.1,6863,2.1,0.97,2.08,1.44,65,3156,0.15,13.1%,0%,0.3%,0
Kangwon National University,0.01,0.13,616996,36.7,0.0,3.2,38765,0.0,1.15,3.5,1.25,57.34,5719,0.25,32.2%,0%,7.7%,0
University of Central Lancashire,0.01,0.03,-,22.5,0.0,2.7,741,0.0,1.61,4.16,1.72,68.83,58,0,36.2%,19%,62.2%,-
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
