,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,36.9,31.5,33,41.4,1.4,17.2,46.3,1.1,20.9,95.8,13.4,24.7,26.9
Beijing Jiaotong University,47.9,44.5,42.1,47.6,5,72.3,51.1,6.1,22.5,61.9,13.5,52.7,30.8
UFG - Universidade Federal de Goiás,49.5,34.1,50.6,50.1,1.2,22.4,39.1,1.2,19.2,38.8,22.9,27.4,20.7
Thammasat University,32.4,20.5,59.7,57.2,4.6,19.5,58.3,2.4,11.8,43.6,36.1,41.1,21.9
Rowan University,42.3,82.1,50.8,48.3,0.1,26.7,28.7,0.3,45.6,37.3,17.2,50.3,26.4
Mohammed V University of Rabat,59.4,98.2,21,24.8,2,24.8,34.9,2.2,17.4,45.4,33.4,24.3,25.8
Kangwon National University,36.6,37.4,50.6,35.4,2,49.8,42.8,1.5,19.1,39.9,20.2,23.9,25.3
Kaunas University of Technology,36,24.8,32,48.9,1.7,29.3,45.8,1.4,21.3,43.8,65.8,26.4,40.7
Prince of Songkla University,32.2,19.7,48,52.3,2,21.1,41.6,1.7,18.9,51.2,46.5,29.6,23.1
Universitas Sebelas Maret,37.4,33.1,21.1,40.3,1.6,24.5,59,1,23.6,70.8,6.1,50.7,20.6
University of Calcutta,100,99.2,28.7,45.4,6,29.4,34.9,3.1,21.4,43,8.1,22.2,19.6
Ankara University,39.3,26.9,25.4,46.3,3.2,15,30.6,3.2,25.6,37.7,21.6,28,32.7
"University of the Sunshine Coast, Australia",34.7,37.2,58.1,29.7,1.3,92.4,37.5,0.9,48,42.9,76.4,69.3,65.9
Chungnam National University,45.5,62.2,53.2,36.9,2.8,50.5,67.7,1.7,18.7,46.1,14.5,29.1,29.4
Vietnam National University - Ho Chi Minh City (VNU-HCM),31.8,20.7,22.9,35.8,3,15.4,28.9,2.1,20.7,41.5,54.9,31.8,20.1
Universitas Padjadjaran,46.2,38.4,21.6,55.4,2.9,14.2,32.6,2.7,17,41.8,19.2,37.3,21.6
University of Sfax,57.5,51,16.5,52.6,3.1,33.8,26.1,3.4,22.6,37.3,83.5,23.3,24.1
Obafemi Awolowo University (OAU),36.6,38.5,19,34.1,5.1,23.3,26.4,3.9,26.1,37,59.7,23.1,19
Pusan National University,44.1,60,74.5,42.4,6.9,77.3,72.9,4.1,21.6,50.8,18.1,32.4,35.1
Khon Kaen University,39.4,39.6,41,40.6,4.2,26.6,36.8,2.8,19.2,49.5,36,36.1,24.4
Universidad Nacional de Educacion a Distancia,34.7,40.8,33.4,22.5,2.3,60.4,27.1,1.7,21.9,38.2,31.9,26.2,30.3
Canterbury Christ Church University,36.3,62.5,34.4,41.2,1.5,34.7,27,0.8,26.4,37,17.8,64.8,60.5
Ege University,40.6,39.1,54.6,40,1.8,24.5,37.6,1.5,19,46.7,17.7,25,29.6
Universidad Nacional de Cordoba,38.2,19.5,18.7,44,7,11.8,26.2,4.4,19.4,37.4,59.5,24.8,21.7
Universidade Federal de São Carlos,67.3,54.9,32.8,45.7,5.5,46.5,33.3,5,18.4,42.9,28.9,27.5,21.9
Tamkang University,31.9,21.9,31.2,34.5,3,25.7,33.5,1.5,23.7,38.6,45.5,35.3,38.8
De La Salle University,34.7,25.8,28.8,47,2.2,28.4,34.1,1.4,23.6,37,26.5,24.7,25.5
Marmara University,36.5,41.5,27.6,29.1,1.7,18.7,27.1,1.4,24.1,40.4,17,28.4,33.4
Universidade Estadual de Londrina,48.7,39.8,27,59.1,1.3,23.9,47.4,1,15.9,45.5,18.6,24.6,20
University of Lethbridge,31.2,20,35.8,51.4,0.5,35.3,32.3,0.3,20.5,37,63.2,56.1,52
Makerere University,31.2,21.2,97.6,36.6,4.9,27.5,100,3.7,34.5,52.2,99.3,47.7,25.7
Chapman University,63,100,63.5,53.1,2.2,33.4,32.1,1.3,43.3,37.4,52.5,29.6,39.9
University of Tunis El Manar,65.3,61.2,19.7,59.5,2.6,28.3,31.8,2.8,19.4,38.2,76.3,30.5,24.3
Chungbuk National University,40.9,37.5,26.5,48.8,0.8,35.6,62.3,1,20.9,42.9,18.1,29.9,31.8
Universidad Austral de Chile,35.1,22.1,30.1,41.6,1.9,30.1,37.8,1.3,24,44.4,89.8,42.7,21.7
Kharazmi University,80.8,87.1,22.2,39.2,0.6,38.5,30.3,0.6,19.4,38,23.6,22.2,27.8
Universidad del Norte,33.3,29.7,38.6,39.3,0.3,32,28.7,0.6,21.1,39.8,85.1,48.8,20.9
Federal University of Viçosa,90.9,38.8,40.9,51.3,5.8,40.3,33.3,3.4,15.2,43.7,17.3,25.4,22.5
University of Antioquia,34.6,23.9,53.5,36,0.8,20.6,48.6,1.7,25,43.3,64.3,30.1,19.1
University of Pecs,95.3,89.4,54.7,53.6,2.3,25,34.3,1.8,27.2,38.7,56.1,27.9,84.9
Universidade Federal da Bahia,79,44.6,29.2,41.8,2.5,18.5,28.9,2.6,25.6,37.2,25.2,29,19.5
University of Central Lancashire,34.2,26.6,32.7,48.3,1.3,36.9,27.6,1.7,45.5,37.3,70.8,61.7,87.5
Worldwide: Top*,78.8,100,100,81.7,16.1,100,93,14.6,100,64,100,100,100
Worldwide: 75%,52,62.2,58.9,54.3,6.9,70.1,54.5,6.2,72.3,48.3,79,60.3,65.3
Worldwide: Median,39.4,36.7,38,44,2.1,38.1,35.5,1.7,47.2,40.5,45.6,34.1,35.2
Worldwide: 25%,34.1,25.6,27.8,35.8,0.7,21.7,28.8,0.6,23.1,37.8,21.4,25.4,23.6
Worldwide: Bottom*,30.4,16.7,15.8,17.4,0,10.8,25.8,0,0.8,37,1.2,22.2,18.7
