,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.06,0.03,92121,5.6,0.9,1.4,13737,0.9,N/A,10928,15.9%,1.2%,2.1%
Thammasat University,0.03,0.01,429812,3.3,0.0,1.1,16882,0.0,N/A,3302,33.5%,3.5%,0.7%
Ankara University,0.06,0.05,328881,6.5,5.4,1.7,29158,3.6,N/A,1199,16.6%,0.1%,3.5%
Universidade Estadual de Londrina,0.07,0.08,289294,6.7,0,2.2,25445,1.6,N/A,N/A,26.8%,0.7%,0.7%
Dokuz Eylul University,0.06,0.03,92121,5.6,0.9,1.4,13737,0.9,N/A,10928,15.9%,1.2%,2.1%
Universidade Federal da Bahia,0.05,0.09,278560,8.7,0.8,1.8,35227,0.8,N/A,-,27.6%,1.5%,0.7%
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,0.09,0.17,5902,9.9,0.0,5.2,5132,0.0,N/A,2807,21.2%,0.3%,0.4%
Makerere University,0.04,0.05,181,7.5,2.1,6.5,11,2.5,N/A,4,82.1%,7.9%,8.4%
Prince of Songkla University,0.04,0.04,654961,7,0.7,1.9,11536,0.7,N/A,4025,37.1%,1.5%,2.6%
University of Pecs,0.11,0.11,289498,10.7,0.9,2.9,121888,0,N/A,8853,47.1%,1.3%,38.4%
Universidad Austral de Chile,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
"University of the Sunshine Coast, Australia",0.01,0.06,546324,31.3,0.0,12.4,10584,0.0,N/A,470,47.7%,14.4%,13.6%
De La Salle University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,0.29,0.07,778608,8.6,0.0,17.6,137764,0.0,N/A,7371,17.2%,0%,1.6%
Chungnam National University,0.37,0.3,-,9.1,1.9,9.9,117896,1.1,N/A,9152,22.4%,2.1%,2.5%
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Central Lancashire,0.02,0.06,N/A,16.7,0.0,4.3,12698,0.0,N/A,351,40.3%,9.5%,9.6%
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Cordoba,0.01,0.03,38472,11.6,3,0.6,560,1,N/A,472,44.2%,0.7%,2.9%
Federal University of Viçosa,0,0,242883,8.8,0.0,15.6,13942,0.0,N/A,13431,23.6%,0%,0.2%
University of Antioquia,0.01,0.02,-,13.3,0,1.7,124405,0.3,N/A,3370,39.2%,0.5%,0.4%
University of Sfax,0.79,0.6,7101,8.1,0.0,3.1,774,0.0,N/A,31,33.2%,0%,3.8%
Khon Kaen University,0.09,0.11,605616,8.5,2.5,1.8,51303,0.7,N/A,5846,38.5%,1.9%,3.5%
Mohammed V University of Rabat,0.9,1.26,43891,15.7,0.0,2,14087,0.0,N/A,6179,21.7%,0%,17.1%
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal de São Carlos,0.11,0.1,205090,9.2,1.8,4.1,32588,0.8,N/A,0,30.7%,0.6%,1.5%
Tamkang University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Marmara University,-,-,-,-,0.0,-,-,0.0,N/A,-,20.1%,-,N/A
University of Tunis El Manar,0,0,9796,4.4,0.0,1.4,298,0.0,N/A,0,27.9%,0%,1.2%
Ege University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Vietnam National University - Ho Chi Minh City (VNU-HCM),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kangwon National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
