,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.04,0.11,98553,28.4,0.0,2.1,87244,0.0,N/A,21803,14.3%,0.5%,0.4%
Thammasat University,0.02,0.12,1134748,28.4,0,5.2,636818,0.5,N/A,147397,25.4%,5.6%,4.1%
Ankara University,0.03,0.07,831013,17.2,0.0,2.9,78772,0.0,N/A,3137,28.3%,1.5%,2.7%
Universidade Estadual de Londrina,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Dokuz Eylul University,0.04,0.11,98553,28.4,0.0,2.1,87244,0.0,N/A,21803,14.3%,0.5%,0.4%
Universidade Federal da Bahia,0.06,0.13,499183,29,0,3.1,53296,0.5,N/A,-,26.7%,3.7%,0.9%
Kharazmi University,0,0,254473,26.6,0.0,10.4,10989,0.0,N/A,10333,17.1%,0%,1.5%
UFG - Universidade Federal de Goiás,0,0,18221,18.9,0.0,4.1,17977,0.0,N/A,12025,21.7%,5.5%,0.7%
Makerere University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Prince of Songkla University,0.03,0.13,167918,24.6,0.0,7.5,19678,0.0,N/A,7084,34.2%,1.4%,1.6%
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Austral de Chile,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
"University of the Sunshine Coast, Australia",N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
De La Salle University,0.02,0.04,162478,18.8,0.9,3.9,10405,0.9,N/A,0,37.5%,0%,1.8%
Pusan National University,0.08,0.52,1004903,31.4,1.5,20.1,650519,0.7,N/A,173728,23.8%,12%,8.6%
Chungnam National University,0.08,0.41,-,27.4,2.1,14.5,241653,2,N/A,24998,18%,1.1%,1.6%
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Central Lancashire,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Beijing Jiaotong University,0.08,0.18,461362,16.9,2.1,10.7,185709,3.1,N/A,96442,20.3%,2.2%,4.2%
Universidad Nacional de Cordoba,0.06,0.03,27985,6.2,0.6,1,412,0,N/A,277,37.2%,0.4%,4.1%
Federal University of Viçosa,0.04,0.06,305877,14.7,0.5,4.7,17559,0.5,N/A,16915,30.2%,0.7%,0.8%
University of Antioquia,0.02,0.07,-,44.7,0.2,1.8,510996,0.1,N/A,31555,48.6%,1.1%,0.4%
University of Sfax,0.08,0.25,17670,14.4,1.6,8.1,4081,1.6,N/A,240,52.2%,0%,0.3%
Khon Kaen University,0.04,0.15,167614,18.8,0.9,4.1,94116,0.5,N/A,2020,26.6%,0.4%,0.9%
Mohammed V University of Rabat,0.04,0.2,99031,30.7,0.6,5.9,39776,0,N/A,35561,34%,0%,4.2%
Kaunas University of Technology,0.05,0.1,107375,15.2,0.4,4.2,21338,0.4,N/A,4874,26.5%,0.1%,6.6%
Universidade Federal de São Carlos,0.15,0.28,277539,20.2,0,4.3,46799,1.1,N/A,4938,31.8%,1.7%,2%
Tamkang University,0.02,0.13,251530,32.7,1.4,8.6,32294,0.7,N/A,3034,25.8%,1.3%,3.9%
Marmara University,-,-,-,-,0.0,-,-,0.0,N/A,-,21.1%,-,N/A
University of Tunis El Manar,0.19,0.33,49926,9.7,0.6,7,9151,1.6,N/A,95,51.7%,6.1%,0.7%
Ege University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Vietnam National University - Ho Chi Minh City (VNU-HCM),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kangwon National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
