,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,0.02,0.13,164726,36.7,0.6,1.1,11187,1.5,0.47,0.42,0.67,49.63,6802,0.14,6.6%,0%,7.1%,0
Makerere University,0.01,0.06,-,26.6,1.6,0.7,-,2.6,0.96,1.02,1.24,32.63,-,0,57.6%,32.3%,0.6%,0
UFG - Universidade Federal de Goiás,0.11,0.05,5331,3.8,0.5,0.4,4750,0.9,0.33,0.23,0.3,31.33,213,0.05,12.8%,1.4%,0.3%,0
Kharazmi University,0.28,0.36,85551,16.2,0.0,2.6,5982,0.0,2.32,5.38,2.77,48.37,594,0,23.5%,1.7%,0.6%,0
Prince of Songkla University,0.01,0.04,308679,20.1,3.3,1.8,20624,3.7,1.36,3.54,1.76,57.19,530,0.19,24.8%,1.8%,0.3%,0
Universidad Austral de Chile,0,0,277719,24.1,0.2,2.3,9585,0,0.63,1,0.75,46.51,3337,0,41.9%,7.9%,0.5%,0
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Educacion a Distancia,0.02,0.15,-,59.3,1.8,5.7,-,2.6,1.17,6.31,1.3,90.74,-,1.08,26.4%,1%,3.7%,0
Thammasat University,0,0,397169,4.3,1.7,3.8,35322,1.9,1.08,3.47,1.01,71.28,4936,0,26.4%,16.1%,0%,0
Ankara University,0.17,0.73,10601,6.3,9.7,3.5,3716,7.5,0.62,1.03,0.78,48.44,0,0,16.1%,N/A,3%,0.02
Dokuz Eylul University,0.02,0.13,164726,36.7,0.6,1.1,11187,1.5,0.47,0.42,0.67,49.63,6802,0.14,6.6%,0%,7.1%,0
Universidade Estadual de Londrina,0.13,0.35,75575,10.3,3,2.5,23296,2.1,0.26,0.32,0.29,61.51,522,0,18%,0%,0%,0
Universidade Federal da Bahia,0.13,0.55,98618,18.4,4.9,1.7,17362,1.7,0.35,0.42,0.31,58.35,1037,0,22.4%,4.1%,0.4%,0
De La Salle University,0.33,0.16,90222,4.3,3.6,1.8,7834,4.3,1.06,2.05,1.26,47.3,0,0,16.8%,2.2%,7.4%,0.07
Pusan National University,0.12,0.4,1010006,19,0,1.3,119955,0.9,0.93,1.15,1.26,38.8,13802,0,29.7%,4.7%,4.3%,0.02
"University of the Sunshine Coast, Australia",0.02,0.1,552876,25.8,0.9,7.7,9904,0.6,1.32,6.34,1.67,88.37,301,0.15,23.1%,8.8%,4.1%,0
Ege University,0,0.03,280883,38.3,0.5,2.1,27484,0.5,0.77,1.64,1,53.28,21373,0.1,23.4%,0%,1.2%,0.01
Chungnam National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Canterbury Christ Church University,0.06,0.22,-,20.3,1.5,1.2,8303,0.7,0.9,1.2,1.03,45.51,0,0,15.3%,9.7%,8.9%,0
University of Antioquia,0.01,0.06,-,68.1,2,0.8,139315,2.4,0.52,0.53,0.62,43.71,523,0,24.2%,0%,0.1%,-
Universitas Sebelas Maret,0.06,0.19,155421,25.1,1.5,1,109228,1,0.79,1.31,1.04,45.12,95643,0,16.2%,15.4%,1.2%,0.02
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Cordoba,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,0.16,0.15,180277,7.7,0,5.5,25272,0.1,0.93,2.49,1.05,66.76,19720,0,47%,27.5%,0.5%,0.02
Federal University of Viçosa,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mohammed V University of Rabat,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Sfax,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Khon Kaen University,0.03,0.32,160192,28.3,1.7,2.5,14798,3.3,1.24,2.89,1.18,56.87,13425,0,26.4%,4.9%,1.2%,0.01
Kangwon National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Central Lancashire,0.03,0.07,-,7.2,0.0,4.4,2216,0.0,1.36,3.97,1.47,68.23,64,0.29,36.3%,8.5%,9.8%,0.04
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marmara University,0.03,0.41,506737,45.1,1.9,1.1,99,0.9,0.64,1.16,0.79,44.23,69,0,16.7%,2.4%,3.3%,0
University of Tunis El Manar,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vietnam National University - Ho Chi Minh City (VNU-HCM),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidade Federal de São Carlos,0.7,0.57,156791,16,3.4,4,12930,5.2,0.32,0.96,0.38,88.06,3,0.18,16.3%,0.8%,0.4%,0
Tamkang University,0.07,0.15,126386,13.7,1.4,2.5,27200,0,0.99,2.31,1.16,61.65,1268,0.87,16.9%,4.2%,2.9%,0
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rowan University,0.11,0.22,371459,13.2,0,2.1,440,0.9,1.3,2.42,1.13,67.48,0,0.17,7.4%,8.2%,1.4%,0
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
