,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,0.04,0.15,157599,26.7,2,4.1,21770,5.8,0.85,5.92,1.04,48.93,13102,9.37,18.7%,0%,7.3%,0.01
Makerere University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,0.05,0.08,252746,12.4,1.7,4.2,245437,1.3,0.77,3.45,0.88,35.19,6521,10.91,30.8%,3%,0.4%,0.01
Kharazmi University,0.14,0.17,115691,21.9,0.9,20.1,12202,1.2,1.17,18.85,1.55,65.58,7109,14.46,35.3%,5%,1.4%,0
Prince of Songkla University,0.03,0.14,357249,22.8,4.2,16.6,116473,3.5,0.96,18.39,1.27,73.5,40788,32.23,44.3%,0%,0.5%,0
Universidad Austral de Chile,0,0,304457,25.4,0.4,4.8,21954,0.3,0.84,2.79,1.11,24.8,11405,3.15,65.5%,20.3%,0.6%,0
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Pecs,0.05,0.1,424419,19.6,0.3,11.2,93531,0.8,0.59,2.58,0.81,49.81,1209,5.91,40.1%,11.1%,25.5%,0.01
Universidad Nacional de Educacion a Distancia,0.32,0.14,-,17.5,2.3,12.1,-,1.3,0.89,6.71,1.07,55.78,-,26.42,31.6%,2.3%,4.3%,0
Thammasat University,0.04,0.2,877480,20.5,3.3,12.8,314544,4.4,0.9,14.85,1.17,64.39,43045,18.31,39.9%,7.1%,5.6%,0.03
Ankara University,0.05,0.18,76081,5.1,8.9,12.4,59598,8.6,1.1,18.82,1.51,35.66,14594,16.73,38.5%,N/A,10.1%,0.07
Dokuz Eylul University,0.04,0.15,157599,26.7,2,4.1,21770,5.8,0.85,5.92,1.04,48.93,13102,9.37,18.7%,0%,7.3%,0.01
Universidade Estadual de Londrina,0.17,0.15,110075,10.1,0.6,7.3,23734,0.8,0.84,4.56,1.12,37.73,15364,10.92,23.9%,7.9%,0.8%,0
Universidade Federal da Bahia,0.09,0.21,368286,29,3.2,4.3,10100,3.5,0.76,4.36,0.96,35.87,634,8.51,30.5%,2.2%,0.3%,0
De La Salle University,0.02,0.03,286047,13.8,3.4,4.9,7834,3.7,0.91,8.08,1.04,48.1,0,3.56,34.4%,0.1%,1.3%,0.03
