,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Makerere University,0.01,0.04,-,15.8,1.3,2.5,-,2.9,1.09,2.25,1.21,26.77,-,0,86%,8.3%,0.9%,0
UFG - Universidade Federal de Goiás,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kharazmi University,0.39,0.63,148637,28.2,0.0,6.9,9707,0.0,1.17,3.75,1.69,40.02,0,0,61.6%,0%,2.6%,0
Prince of Songkla University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidad Austral de Chile,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,-,0,-,-,0.8,10.8,21808,1.4,1.18,7.27,1.54,68.85,-,8.63,39.5%,-,-,-
University of Pecs,0.02,0.08,250195,17.6,0.1,5.3,6559,2.1,1.13,4.51,1.27,50.54,0,0.45,42.9%,10.3%,18.9%,0.04
Universidad Nacional de Educacion a Distancia,0.01,0.09,-,106,2.8,3.6,-,0.1,1.28,5.08,1.26,56.49,-,0.23,37.7%,0.6%,4.9%,0
Thammasat University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ankara University,0.11,1.43,11643,16.2,1.2,14.8,11643,0,0.91,5.05,0.94,44.8,0,0.46,27.8%,N/A,9.4%,0.07
