,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,0.06,0.36,379931,53.6,2.4,4.3,134,1.7,1.1,4.54,1.17,52.49,134,1.03,25.2%,0%,8.3%,0
Makerere University,0,0,-,28.9,4.4,3.6,-,6.3,0.98,4.82,1.15,55.61,-,0.12,60.4%,19.9%,3%,0
UFG - Universidade Federal de Goiás,0.08,0.12,57356,12.9,0.1,1.2,54910,0.6,0.44,0.95,0.5,31.92,1626,0.09,20.8%,4.3%,0.4%,0
Kharazmi University,0.59,0.37,71290,13.5,0.0,3.3,8209,0.0,1.33,4.98,1.45,34.88,3854,0.61,36%,1%,2.3%,0
Prince of Songkla University,0,0,160661,27.5,0,6.9,25248,2.7,1.22,6.57,1.5,54.88,11823,0.6,41.5%,16.4%,6.5%,0.01
Universidad Austral de Chile,0.04,0.04,110618,8.6,0.7,4.7,31429,3.7,0.8,3.25,0.85,50.13,9436,0.09,44.2%,14.5%,1.4%,0.01
University of Lethbridge,-,0.05,-,-,2.4,4.4,18710,0.4,0.92,3.06,1.11,49.59,-,0.35,30.2%,-,-,-
University of Pecs,0.02,0.04,139450,9.9,1.4,5.5,4800,1.9,0.86,3.52,0.96,55.56,0,0.43,26.8%,4.6%,24.4%,0.02
Universidad Nacional de Educacion a Distancia,0.09,0.24,-,26.6,1.7,13.9,-,2.3,0.93,12.62,1.03,88.31,-,1.04,23.3%,2.3%,7%,0
Thammasat University,0.01,0.05,265426,15.3,2.2,2.3,60505,3,0.96,3.72,1.03,48.52,4570,0.21,36.7%,12.3%,2.3%,0.03
Ankara University,0.12,0.55,2860,11.1,5.3,5.6,2381,9.9,0.85,4.38,0.94,28.59,0,0.5,23.8%,3.2%,8.1%,0.04
Dokuz Eylul University,0.06,0.36,379931,53.6,2.4,4.3,134,1.7,1.1,4.54,1.17,52.49,134,1.03,25.2%,0%,8.3%,0
Universidade Estadual de Londrina,0.14,0.23,104106,13.8,1.8,2.4,23037,0.9,0.35,0.43,0.39,35.18,0,0.43,21.1%,0.7%,0.6%,0
Universidade Federal da Bahia,0.22,0.23,87201,14,6.9,1.9,7591,7.8,0.51,1.68,0.58,48.44,477,0.13,23.6%,1.1%,0.4%,0
De La Salle University,0.01,0.02,199025,9.6,4.3,3.4,7834,6.8,1.01,4.35,1.19,51.85,0,1.11,26%,3.6%,0.9%,0.03
Pusan National University,0.06,0.42,1896341,27.3,1.3,11.2,165787,4.2,1.32,9.86,1.21,67.82,127380,2.57,35.1%,39.6%,34.2%,0.03
"University of the Sunshine Coast, Australia",0.05,0.23,1011391,49.3,0.6,23.6,19320,0.4,1.47,24.12,1.87,89.58,454,0.62,38.4%,14%,8.2%,0
Ege University,0.04,0.32,275271,45.4,1.3,5,274,2.2,0.91,4.45,0.99,50.09,0,0.36,24.2%,0%,4.2%,0.02
Chungnam National University,0.04,0.25,-,28.8,0.9,4.3,79840,0.9,0.94,4.15,1.17,47.91,1551,2.59,28.1%,1.4%,5.4%,0.01
Canterbury Christ Church University,0.03,0.14,-,21.5,0.1,7.6,524,1.8,1.06,6.55,1.1,68.15,0,0,17%,14.1%,17.5%,0
University of Antioquia,0.01,0.03,-,19.7,2.3,1.3,30585,1.4,0.65,1.45,0.69,39.87,1329,0.18,29.6%,4.3%,0.1%,-
Universitas Sebelas Maret,0.01,0.06,150426,18.4,0.8,5.9,105933,1.1,1.02,6.04,1.14,51.22,88943,0.11,26%,4.5%,5.6%,0.09
Universitas Padjadjaran,0.08,0.25,110887,16.3,3.3,1.1,24803,4.8,0.79,2.18,0.93,32.22,9090,0,23.2%,14.3%,0.5%,0.01
Universidad Nacional de Cordoba,0.02,0.02,42418,13.7,8.2,0.3,339,5.6,0.59,0.72,0.6,20.2,174,0,23%,0.8%,0.9%,0
Universidad del Norte,0.04,0.27,378453,26.1,0.5,9.9,20816,0.1,1.01,6.78,1.26,63.1,16421,0.16,48.2%,3.7%,0.5%,0.07
Federal University of Viçosa,0.09,0.13,395426,14,2.1,2.6,9107,0.7,0.55,1,0.75,41.97,4978,1.07,22.4%,0%,0.7%,0
Mohammed V University of Rabat,0.13,0.33,77236,20.6,0,4.6,23499,4.6,0.87,4.12,1.11,54.48,680,2.35,35.2%,0%,8.1%,0
University of Sfax,0.08,0.26,12898,22.3,2,8.3,1655,2,1.34,8.46,1.58,55.95,0,1.17,58.7%,0%,2.1%,0.01
Khon Kaen University,0.04,0.16,171071,24.6,0.4,2.1,25197,0,0.97,2.44,1,39.05,19673,0.24,31.7%,18.5%,2%,0.03
Kangwon National University,0.02,0.13,517510,22.1,0.0,6.8,27002,0.0,1.07,4.64,1.29,49.32,1380,1.06,28.6%,0%,2.3%,0
University of Central Lancashire,0.01,0.03,-,12.6,1.4,3.8,12363,4.7,1.21,6.52,1.5,60.78,504,0.37,30.7%,7.9%,11%,0
Obafemi Awolowo University (OAU),0.04,0.15,56331,22.3,2.9,5.2,3301,0.4,0.85,4.77,0.98,62.02,1331,0.09,33.3%,0%,0.2%,0
Marmara University,0.11,0.44,677542,40.9,4.7,1.1,7902,5.1,0.88,1.93,1.08,32.96,1286,0.2,19.3%,2.3%,5.1%,0.01
University of Tunis El Manar,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vietnam National University - Ho Chi Minh City (VNU-HCM),0,0,4,24.3,2.7,1.1,0,2.7,1.18,3.15,1.47,22.59,0,0.33,43.4%,6.6%,2.2%,0
Universidade Federal de São Carlos,0.34,0.71,301544,31.1,1.7,14.6,70416,2.3,0.59,5.54,0.69,83.68,0,0.25,21%,5.1%,1.2%,0.01
Tamkang University,0.04,0.06,83405,8.4,0.4,1.5,6073,0.3,0.76,1.85,0.9,33.64,588,2.38,25.9%,3.9%,16.5%,0.01
Kaunas University of Technology,0.07,0.04,75450,4.1,0.7,5.8,18272,0.2,1.2,4.87,1.15,60.02,415,0.1,33.5%,7.4%,9.6%,0.06
Rowan University,0,0,486321,11.5,0,2.2,680,0.3,1.05,3.7,1.25,37.15,0,0.43,12.4%,6.6%,1.6%,0
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
