,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,0.05,0.36,463489,60.8,0.3,10.2,5999,1.6,0.93,5.6,1.09,50.7,5999,6.72,18.5%,2.8%,12.7%,0.01
Makerere University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,0,0,14701,18,0,5.2,11961,0.4,0.75,2.74,0.75,34.82,2015,3.52,32.6%,3.7%,0.7%,0
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Prince of Songkla University,0,0,438255,9.9,0.9,19.8,69799,0.5,0.83,9.33,0.89,67.1,24215,7.5,32.6%,0%,3.7%,0.01
Universidad Austral de Chile,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Educacion a Distancia,0.06,0.05,-,22.3,1.1,8.5,-,0.9,1.23,6.97,1.26,50.61,-,11.74,29.6%,1%,4.7%,0
Thammasat University,0.01,0.02,174935,29.8,3.2,23,46041,1.5,0.64,7.6,0.75,67.74,5550,24.6,37.2%,0%,0.7%,0
Ankara University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dokuz Eylul University,0.05,0.36,463489,60.8,0.3,10.2,5999,1.6,0.93,5.6,1.09,50.7,5999,6.72,18.5%,2.8%,12.7%,0.01
Universidade Estadual de Londrina,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Universidade Federal da Bahia,0.4,0.55,161344,50.4,1.8,10.2,9833,1.8,0.58,3.71,0.75,45.91,630,7.09,30.5%,4.8%,0.1%,0
De La Salle University,0.03,0.05,287238,13.8,2.1,11.8,7834,2.3,0.78,9.56,0.94,62.31,0,4.57,18%,6.6%,2.2%,0.03
Pusan National University,0.05,0.27,1244674,20.4,10.4,79.1,862961,5.9,0.97,31.56,1.07,95.72,117098,79.63,27.3%,4.4%,17.5%,0
"University of the Sunshine Coast, Australia",N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ege University,0.02,0.21,332205,42.7,0,23.7,792,1.5,0.98,10.82,1.16,57.27,792,18.37,37.1%,0%,6.5%,0.02
Chungnam National University,0.14,0.7,-,28.9,0.0,49.9,486479,0.0,0.77,15.69,0.96,86.99,64009,55.37,21.1%,0%,1.4%,0.03
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
University of Antioquia,0.03,0.13,-,52.9,0.0,6.6,1065870,0.0,0.76,3.65,0.96,34.26,64159,5.24,51.9%,8.3%,0.1%,-
