,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Mohammed V University of Rabat,0.16,0.25,59625,22.9,1.3,4.3,24102,0,0.91,19617,47.9%,4%,1.6%
University of Sfax,0.12,0.56,34114,28.3,0,12.1,9416,4.5,1.09,0,58.8%,0%,0.5%
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Khon Kaen University,0.04,0.23,194081,28.4,1,31.5,90576,0,0.71,19555,41.3%,1.4%,0.1%
Universidad Nacional de Cordoba,0.01,0.01,127201,8.5,5.7,2.1,2182,5.7,1.01,1311,44.6%,0.8%,1.6%
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Padjadjaran,0.01,0.03,96034,13.9,0.0,1,9305,0.0,0.58,8040,29.9%,11%,0.1%
Federal University of Viçosa,0.33,0.31,378418,11.3,8.8,7.9,31917,8.5,0.85,16813,25.4%,1.4%,2.2%
University of Antioquia,0.08,0.2,-,22.8,0.4,4.5,707264,1.3,0.97,441815,47.1%,4.4%,0.9%
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Calcutta,-,2.76,375506,23.6,2.6,1.4,131054,3.5,0.85,26900,17.6%,0%,0.6%
Kangwon National University,0.05,0.22,535468,20.3,4,12.1,138861,3,0.83,14989,28.8%,2%,2%
University of Central Lancashire,0.04,0.08,N/A,7.1,0,3.8,3430,0.9,1.21,357,50.8%,12.1%,12.5%
Obafemi Awolowo University (OAU),0.02,0.06,12254,30.1,1.6,3.8,1648,0.9,0.65,0,40.6%,0%,0.1%
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.02,0.09,-,19.9,8.2,2,1,9,0.99,0,55.7%,0.4%,0.1%
Marmara University,0.01,0.01,143374,33.9,0.6,11.2,3607,0.5,0.98,2659,34.6%,0%,1.5%
University of Tunis El Manar,0.35,0.57,122071,10.5,0,9.4,48919,7.7,0.87,633,65.8%,4.5%,0.7%
Chungbuk National University,0.1,0.28,327611,16.4,0.0,11.7,250991,0.0,0.84,36180,25.1%,2.3%,2.2%
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Tamkang University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal de São Carlos,0.28,0.25,331421,10,3,8.3,89345,2.3,0.94,54542,33.3%,1.8%,1.7%
Prince of Songkla University,0.02,0.08,145841,14,1,7.4,27245,1,0.84,7093,43.4%,3%,3.4%
University of Lethbridge,-,0.04,-,-,1,6.9,76971,0,1.07,-,46.9%,-,N/A
Universidad Austral de Chile,0.18,0.11,227927,10.5,2,5.5,122291,2.5,1.02,37109,63.4%,12.3%,4.6%
University of Pecs,0.05,0.06,174882,9.2,0.0,10.2,30045,0.0,1.08,3175,47.5%,1.1%,11%
Thammasat University,0.02,0.04,266299,8.7,1,7,10494,1,0.76,2798,33.5%,0.8%,0.1%
Makerere University,0.04,0.07,116,8.7,3.6,5.2,93,2.3,0.96,9,80.5%,9%,3.2%
Kharazmi University,0.36,0.37,102627,14.4,0.0,5.1,13031,0.0,0.89,1253,26.2%,0%,0.9%
UFG - Universidade Federal de Goiás,0.15,0.17,21267,11.5,0.8,9.1,20016,1.7,0.85,858,25.8%,1.6%,0.6%
Universidade Federal da Bahia,0.22,0.16,407487,14.1,0,7.1,59155,1.3,0.93,-,30.1%,0%,0.6%
Ankara University,0.07,0.08,353928,11.7,1.2,4,44738,2.4,0.78,3618,26.1%,2.3%,3.9%
Universidade Estadual de Londrina,0.14,0.32,164882,14.1,0,4.2,39911,0.8,0.84,-,23.9%,0.9%,0.4%
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungnam National University,0.09,0.34,-,21.9,0,15.8,334888,0.7,0.84,31024,29.2%,2.6%,3.4%
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
De La Salle University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
"University of the Sunshine Coast, Australia",0.17,0.45,586022,24.2,0,16.2,188400,1.8,1.36,21437,59.4%,19.3%,16.6%
Ege University,0.09,0.22,411415,21.2,0.6,5.3,64688,1.7,0.79,10556,27.3%,0%,1.4%
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
