,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.02,0.08,183712,22.3,0.7,2.8,53099,1.3,0.88,10472,14.6%,0.2%,2.9%
Mohammed V University of Rabat,0.19,0.22,132305,12.9,1.2,11.5,34304,1.2,0.97,30181,31.8%,0%,1.8%
University of Sfax,0.13,0.28,10566,9.5,0.0,11.7,2215,0.0,0.93,0,57.4%,0%,0.9%
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Khon Kaen University,0.04,0.15,95680,20.9,0.0,8.2,70827,0.0,0.97,3998,28.4%,0.5%,1%
Universidad Nacional de Cordoba,0.07,0.04,119974,12.5,1.5,0.9,1983,0.7,0.8,1983,43.7%,0.7%,2.9%
Universidad del Norte,0.02,0.06,468836,29.3,0.0,3.8,21531,0.0,0.97,11221,51.2%,3.7%,1.1%
Universitas Sebelas Maret,0,0,63929,12.1,1.4,2.5,57167,1.4,0.95,-,33%,17.9%,1.3%
Universitas Padjadjaran,0.14,0.38,114656,16.6,0,6.3,11110,0.8,0.71,9599,35.3%,3.4%,1%
Federal University of Viçosa,0.15,0.36,392540,25.3,0.0,4.2,46039,0.0,0.95,29704,27.2%,0%,0.6%
University of Antioquia,0.04,0.17,-,50.8,0.2,4,590214,0.2,0.87,353242,44.7%,1.8%,0.3%
Beijing Jiaotong University,0.15,0.25,440294,15.6,7.6,13,156640,14.8,0.95,68244,21.8%,12.3%,6.6%
University of Calcutta,-,0.87,448306,19.2,2.1,4.8,154412,1,0.88,29124,18.2%,0%,0.9%
Kangwon National University,0.02,0.1,673554,27.1,0.7,11.3,118090,0.7,0.82,9208,24.6%,0.5%,0.8%
University of Central Lancashire,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),0.06,0.18,13751,22.8,0.0,4.2,1849,0.0,0.84,0,50.6%,0%,0.1%
Vietnam National University - Ho Chi Minh City (VNU-HCM),0,0.02,-,35.7,0.0,3.3,3,0.0,1.2,2,47%,4.3%,0%
Marmara University,0.03,0.1,199408,31.9,1.5,3.8,15698,0.8,0.98,10628,23.6%,0.8%,2.8%
University of Tunis El Manar,0.45,0.38,37079,8.8,0.0,15.9,11874,0.0,0.83,2757,54.1%,10.2%,0.3%
Chungbuk National University,0.04,0.17,200769,19.6,0,10,133291,0.8,0.8,13473,26.5%,0%,1.9%
Rowan University,-,-,-,-,0.0,-,-,0.0,0.87,-,27%,-,N/A
Kaunas University of Technology,0.05,0.12,230409,15.5,1.9,3.8,50874,1.3,0.89,15700,43.4%,1.5%,14.2%
Tamkang University,0.02,0.13,298392,32.6,0.8,9.5,59006,0.8,0.96,7786,39.1%,0%,3.9%
Universidade Federal de São Carlos,0.13,0.31,314705,24.6,3.4,10.7,47119,2.7,1.02,656,32.6%,2.1%,1.4%
Prince of Songkla University,0.04,0.15,205160,23.2,0.0,11.5,90310,0.0,0.89,14420,35.9%,0.7%,1.3%
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Austral de Chile,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Thammasat University,0.05,0.24,655557,18.7,0.0,6.2,230623,0.0,0.79,19278,29.8%,2.3%,5.2%
Makerere University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kharazmi University,0.04,0.06,106674,17.8,0.0,13.5,15805,0.0,1.13,2966,20.9%,0%,1.7%
UFG - Universidade Federal de Goiás,0.01,0.02,86783,18.9,0.7,6.8,64299,0.7,0.73,22044,25.5%,3.7%,0.7%
Universidade Federal da Bahia,0.11,0.14,453572,29.6,0.7,3.7,61540,0.7,0.79,-,26.3%,3.8%,0.3%
Ankara University,0.05,0.07,632211,19,0.7,2.4,100039,0,0.95,5811,28.4%,3.5%,3%
Universidade Estadual de Londrina,0.19,0.32,120131,13.8,0.0,4.1,25689,0.0,0.86,-,18.5%,2.6%,0.4%
Dokuz Eylul University,0.02,0.08,183712,22.3,0.7,2.8,53099,1.3,0.88,10472,14.6%,0.2%,2.9%
Chungnam National University,0.09,0.45,-,25.4,0.0,17.4,324849,0.0,0.79,48038,20.2%,0.5%,2.2%
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,0.09,0.58,-,28.5,0,26.5,549439,2.2,0.94,64025,24.8%,2.7%,4.8%
De La Salle University,0.04,0.07,207225,15.7,0,4.7,41828,1.1,1.1,0,30.9%,0%,1.6%
"University of the Sunshine Coast, Australia",N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Ege University,0.04,0.14,414037,32.3,1.4,8.1,65100,0.7,0.95,10624,23.5%,0.8%,3.2%
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
