,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Mohammed V University of Rabat,0.15,0.41,92854,17.9,0.0,14.7,24563,0.0,0.85,14914,24.7%,4.9%,1.4%
University of Sfax,0.11,0.18,8254,11.9,0.0,14.7,899,0.0,0.84,0,48.3%,0%,1.9%
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Khon Kaen University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Cordoba,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Federal University of Viçosa,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Antioquia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Beijing Jiaotong University,0.08,0.22,425744,17.8,0.4,21.1,187698,0,1.02,71243,26.3%,13.9%,6.1%
University of Calcutta,-,0.93,272854,21.3,0.0,7.2,48604,0.0,0.71,21575,16.1%,0%,0.5%
Kangwon National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Central Lancashire,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.01,0.02,-,27.7,0,4.1,1,0.6,0.95,0,37.3%,3%,0.1%
Marmara University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Tunis El Manar,0.1,0.25,34748,10.6,0.0,12.6,10974,0.0,0.76,443,42.9%,5%,1.6%
Chungbuk National University,0.08,0.29,218950,18.5,0.0,10.4,161561,0.0,0.96,6119,25.8%,2.2%,5.3%
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kaunas University of Technology,0.02,0.07,304036,25.2,0.7,5.6,12049,0.7,1,4055,40.4%,2.9%,3.4%
Tamkang University,0,0.02,215144,27.1,0.4,19.4,19844,0.4,0.69,2124,24.9%,0%,9.1%
Universidade Federal de São Carlos,0.12,0.17,257364,14.2,0.0,13.6,20862,0.0,0.95,0,27.5%,1.7%,1.2%
Prince of Songkla University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Austral de Chile,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Thammasat University,0.01,0.02,173628,13.8,0.8,15.3,62245,1,0.59,6476,32.5%,2.1%,0%
Makerere University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,0.04,0.08,46946,27.8,0.0,9.8,25036,0.0,0.64,21343,27.6%,1.6%,0.5%
Universidade Federal da Bahia,0.25,0.15,206375,32.4,0.0,9.4,62223,0.0,0.75,-,26.2%,15%,0.3%
Ankara University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Estadual de Londrina,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungnam National University,0.07,0.33,-,26,0.4,29.7,308032,0,0.63,27803,17.8%,0%,0.7%
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,0.12,0.71,1199869,17.8,0.5,30.1,472421,0,0.89,33638,22%,2.6%,1.8%
De La Salle University,0.02,0.14,182828,15.6,0.0,8.5,29892,0.0,0.98,0,12.6%,6.5%,3.3%
"University of the Sunshine Coast, Australia",N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Ege University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
