,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.04,0.26,113764,63.5,0.0,2.9,5805,0.0,0.97,1210,24.8%,0%,2.4%
Mohammed V University of Rabat,0.09,0.45,60227,32.3,0.0,2.5,15916,0.0,1.13,390,30.2%,0%,1.2%
University of Sfax,0.07,0.22,10990,19.5,0.0,4.5,1269,0.0,1.3,0,44.9%,0%,0.3%
Chapman University,0,0,-,15.9,0.0,5.4,43419,0.0,1.4,0,19.8%,6.8%,3.4%
Khon Kaen University,0.05,0.26,159801,38.7,1.3,1.2,29197,0,0.87,0,33.8%,18.6%,4.7%
Universidad Nacional de Cordoba,0.02,0.02,121942,15.5,0.0,0.3,552,0.0,0.84,330,20.7%,0.6%,1%
Universidad del Norte,0.02,0.09,352832,29.5,0.0,5,15229,0.0,0.93,13411,53.5%,10.1%,3.1%
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Padjadjaran,0.08,0.31,184119,26.6,4.1,0.5,17840,3.1,0.49,15414,18.8%,5.3%,0.2%
Federal University of Viçosa,0.12,0.29,396296,26.2,0.0,3.5,49794,0.0,0.57,35107,23.6%,2%,1%
University of Antioquia,0.01,0.03,-,29.6,0.0,1.8,116063,0.0,0.61,46319,25.8%,2.3%,0.6%
Beijing Jiaotong University,0.16,0.13,459164,7.1,1.9,26.3,21588,1.9,0.81,16172,29.1%,0%,1.6%
University of Calcutta,-,0.8,337940,22.1,1.2,0.7,32212,0,0.56,7453,13.2%,0%,0.8%
Kangwon National University,0.03,0.16,485124,30.6,0.0,5,22355,0.0,0.98,110,30.6%,0%,2.7%
University of Central Lancashire,0.01,0.02,N/A,12.1,3,3.8,7518,3,1.25,255,24%,11.3%,11.6%
Obafemi Awolowo University (OAU),0.04,0.23,8709,33.5,0.0,3.3,1171,0.0,0.55,0,31.3%,0%,0.1%
Vietnam National University - Ho Chi Minh City (VNU-HCM),0,0,-,17.8,0,0.6,0,1,1.12,0,55.2%,5.6%,6.1%
Marmara University,0.08,0.23,200405,42.9,0.0,0.5,348,0.0,0.89,0,18.5%,2.6%,5.6%
University of Tunis El Manar,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kaunas University of Technology,0.02,0.01,48124,3.1,0.0,3.9,12565,0.0,0.7,206,28.9%,6.4%,6.6%
Tamkang University,0.03,0.06,113434,12.4,1.2,1.5,4367,0,0.74,0,16.3%,4.9%,14.5%
Universidade Federal de São Carlos,0.35,0.65,328505,23.2,1.7,7.6,89846,0,0.55,0,17.6%,6.7%,2%
Prince of Songkla University,0,0,172273,32.1,1.3,3.4,24408,0,0.84,8935,33.7%,15%,4.9%
University of Lethbridge,-,0.03,-,-,0.0,3.9,15969,0.0,1.33,-,32.2%,-,N/A
Universidad Austral de Chile,0.06,0.05,150291,11,0.0,3.4,49166,0.0,0.77,14734,39.6%,12%,2.7%
University of Pecs,0.06,0.12,197998,10.4,0.0,3.5,13747,0.0,1.04,0,24.2%,0%,22.1%
Thammasat University,0.01,0.03,356888,16.5,1.3,1.2,58013,0,0.89,3962,32.7%,13.7%,1.6%
Makerere University,0.01,0.13,222,67.2,0,5.2,39,1,1,0,57.1%,30%,2.2%
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,0.09,0.21,15882,17.5,0.0,2.1,10933,0.0,0.44,4538,20%,4.6%,0.4%
Universidade Federal da Bahia,0.49,0.31,198438,20,0.0,2,85461,0.0,0.49,-,19.5%,0.7%,0.5%
Ankara University,0.1,0.18,35712,39.1,0,0.6,3944,1,0.71,304,20.4%,2.3%,8.2%
Universidade Estadual de Londrina,0.09,0.15,99117,15.2,0.0,0.7,22984,0.0,0.29,-,18%,0.7%,0.4%
Dokuz Eylul University,0.04,0.26,113764,63.5,0.0,2.9,5805,0.0,0.97,1210,24.8%,0%,2.4%
Chungnam National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Canterbury Christ Church University,0.02,0.12,N/A,23.5,0.0,7.5,1501,0.0,1.09,73,10.9%,19.3%,13.1%
Pusan National University,0.05,0.26,1128033,29.6,0.0,4.7,63546,0.0,1.09,28374,29.2%,17.1%,8.5%
De La Salle University,0.04,0.11,168903,11.3,0,2.8,30683,1,0.83,0,22.4%,1.2%,0.7%
"University of the Sunshine Coast, Australia",0.06,0.4,954518,56.9,1,19.8,18798,0,1.38,0,34.9%,17%,14.1%
Ege University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
