,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.03,0.04,85986,12.9,0.0,12.5,3586,0.0,0.83,420,22.4%,0.8%,2.9%
Mohammed V University of Rabat,0.1,0.21,57230,16.8,0.0,7,35266,0.0,0.93,17964,37.3%,0.3%,1.4%
University of Sfax,0.32,0.26,7781,8.1,0.0,10.4,2097,0.0,0.9,0,55.1%,0%,1.7%
Chapman University,0,0,-,2.4,0.0,12.9,29400,0.0,1.14,0,60.5%,23.1%,6%
Khon Kaen University,0.07,0.24,124519,18.6,1.2,7.1,20051,0,0.95,55,30.5%,2.2%,0.9%
Universidad Nacional de Cordoba,0.12,0.02,148565,8.9,2.4,7.1,2005,4,0.97,2005,49.1%,6.1%,3.9%
Universidad del Norte,0,0,76458,4.9,0.0,8,10135,0.0,0.98,160,55.9%,3.2%,1.1%
Universitas Sebelas Maret,0,0,72149,15,0.0,14.8,55044,0.0,1.01,-,9.3%,18.7%,0.6%
Universitas Padjadjaran,0.02,0.05,90796,13.1,0,5.8,8798,1.8,0.89,7601,21.8%,0%,0.1%
Federal University of Viçosa,0.46,0.18,385326,6,1.7,7.9,38824,1.7,0.88,22856,27.2%,3.3%,1.6%
University of Antioquia,0.47,0.2,-,12.1,0.0,4.8,768196,0.0,0.94,394274,55.8%,11.1%,0.3%
Beijing Jiaotong University,0.13,0.14,321189,7.4,1.6,47.1,25693,3.9,0.94,5157,20.6%,30.5%,0.7%
University of Calcutta,-,2.11,397960,15,2.8,4.2,214326,0.6,0.79,24427,21.6%,0%,0.8%
Kangwon National University,0.04,0.13,392765,16.2,0,37.7,110940,1.5,0.97,2844,30.2%,0%,0.1%
University of Central Lancashire,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),0.08,0.08,6044,11.3,0.0,5.1,813,0.0,0.78,0,47.4%,0.7%,0.1%
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.02,0.05,-,14.5,0,6.7,0,0.6,1.12,0,47.5%,1.7%,0%
Marmara University,0.05,0.1,246868,27.4,0.0,17.6,27096,0.0,0.89,19623,26.1%,0%,2.8%
University of Tunis El Manar,0.21,0.4,42307,10.6,0.0,13.7,24120,0.0,0.73,809,55.7%,4.7%,1.3%
Chungbuk National University,0.04,0.09,163925,11.2,0.0,22,100661,0.0,0.78,10896,30.4%,1%,1%
Rowan University,-,-,-,-,0.0,-,-,0.0,1.44,-,40.5%,-,N/A
Kaunas University of Technology,0,0,107704,5.7,0.0,10.8,41398,0.0,0.9,7478,46.2%,0.8%,4.7%
Tamkang University,0,0.01,201744,21.3,2.1,13.3,52063,0,0.97,4331,43.9%,2.1%,3.5%
Universidade Federal de São Carlos,0.58,0.29,274355,11.7,3.5,12.3,43945,2.4,0.96,233,32.9%,6%,2.5%
Prince of Songkla University,0.05,0.08,133860,9.1,0.0,4.7,26969,0.0,0.86,11465,36.6%,1.1%,2.8%
University of Lethbridge,-,0.13,-,-,0.0,14.2,19726,0.0,1,-,57.6%,-,N/A
Universidad Austral de Chile,0.15,0.06,191880,10.1,0.0,9.1,88696,0.0,1.24,29881,70.8%,14.7%,6.5%
University of Pecs,0.5,0.15,88296,4.6,0.0,10.2,86526,0.0,0.87,3457,44.3%,1.5%,38.5%
Thammasat University,0.01,0.05,270629,16.2,0.0,13.1,9321,0.0,0.75,3608,33.8%,2.7%,0.8%
Makerere University,0.01,0.03,98,19.5,0.0,3.9,46,0.0,0.96,16,71.4%,7.7%,2.7%
Kharazmi University,0.17,0.19,77437,10.8,0.0,11.1,14610,0.0,0.98,1090,23.4%,0%,1.7%
UFG - Universidade Federal de Goiás,0.22,0.15,32231,10.2,0,9.1,18546,0.9,0.89,13001,31.4%,5.9%,0.3%
Universidade Federal da Bahia,0.17,0.12,164935,14.2,0.9,4,33671,0.9,0.78,-,29.7%,8.4%,0.3%
Ankara University,0.18,0.12,147109,14,0.0,4.7,16115,0.0,0.84,1533,37.3%,0.4%,3.3%
Universidade Estadual de Londrina,0.51,0.64,116707,16.4,0.0,5,27834,0.0,0.86,-,21.7%,1.1%,1.1%
Dokuz Eylul University,0.03,0.04,85986,12.9,0.0,12.5,3586,0.0,0.83,420,22.4%,0.8%,2.9%
Chungnam National University,0.07,0.29,-,20.6,0.0,29.9,146231,0.0,0.79,8426,28.9%,3.3%,1.3%
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,0.08,0.41,924006,21.4,4.3,39,295852,3,1.12,25252,32%,4.2%,5.5%
De La Salle University,0.04,0.07,76254,5.4,0.0,7.2,11544,0.0,1.06,0,35.8%,2.3%,2.7%
"University of the Sunshine Coast, Australia",N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Ege University,0.04,0.1,389506,33.4,1.8,13.8,61243,1.8,0.8,9994,28.7%,0.9%,1.2%
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
