,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.01,0.1,134029,36,0.0,0.7,3850,0.0,0.59,1011,4.9%,4.8%,1.9%
Mohammed V University of Rabat,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Sfax,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chapman University,0.17,0.22,-,8.3,1,2.1,15600,0,1.38,0,7.7%,2%,6.1%
Khon Kaen University,0.05,0.38,201191,46.9,0.0,2.2,21517,0.0,0.61,24,22.6%,18%,1%
Universidad Nacional de Cordoba,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,0.02,0.08,66059,23.3,0.0,0.2,55840,0.0,0.87,-,8.5%,9%,0.6%
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Federal University of Viçosa,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Antioquia,0.01,0.13,-,48.5,0.1,0.8,139538,0,0.37,61372,25.4%,1.3%,0.4%
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kangwon National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Central Lancashire,0.13,0.08,N/A,3.8,0,3.1,1367,1.4,1.13,0,28.5%,4.7%,13.1%
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Vietnam National University - Ho Chi Minh City (VNU-HCM),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Marmara University,0.03,0.11,194369,30.1,1,0.4,565,1,0.69,0,17.3%,10.7%,2.8%
University of Tunis El Manar,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,-,-,-,-,0.0,-,-,0.0,1.09,-,7.8%,-,N/A
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Tamkang University,0,0,120011,15.2,0.0,2.7,19841,0.0,0.93,0,12.5%,2.3%,4.3%
Universidade Federal de São Carlos,0.43,0.59,211197,16,1,2.8,17714,0,0.34,0,13.6%,0%,0.6%
Prince of Songkla University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Austral de Chile,0,0,350293,30.1,0.0,1.8,15399,0.0,0.75,5347,41.9%,7.4%,1%
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Thammasat University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Makerere University,0.01,0.05,99,33,1.3,1.1,9,2.3,0.64,0,49.6%,7.5%,0.8%
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,0.13,0.21,2077,14.6,0.0,0.9,1776,0.0,0.4,0,14.6%,0.7%,0%
Universidade Federal da Bahia,0.32,0.52,101023,19.7,0.0,0.9,87993,0.0,0.33,-,17.6%,0%,0.1%
Ankara University,0.08,0.14,97183,18.6,0,0.9,17587,1,0.67,761,14.1%,2.5%,1.5%
Universidade Estadual de Londrina,0.13,0.28,93303,14.2,1,1,27657,0,0.27,-,20.5%,0%,0.4%
Dokuz Eylul University,0.01,0.1,134029,36,0.0,0.7,3850,0.0,0.59,1011,4.9%,4.8%,1.9%
Chungnam National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Canterbury Christ Church University,0.04,0.14,N/A,16.6,0.0,0.9,2761,0.0,1.13,0,15.9%,6.7%,7.3%
Pusan National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
De La Salle University,2.38,0.39,150188,13.7,1,1.1,7795,1,1.52,0,25.7%,1%,7.8%
"University of the Sunshine Coast, Australia",0.02,0.04,322144,19.5,0.0,5.7,1360,0.0,1.21,0,17.8%,12.8%,6.1%
Ege University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
