,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.16,0.14,175175,4.9,1.5,1.6,31275,0.2,1.02,8201,22.1%,0.5%,2.8%
Mohammed V University of Rabat,11.35,2.1,99941,23.9,0.0,3,35892,0.0,0.92,11548,27.1%,0%,9.3%
University of Sfax,0.77,0.6,5399,7.3,0.0,3.3,673,0.0,0.85,0,40.8%,0%,4.8%
Chapman University,2.12,1.59,-,11.5,0.0,4.6,29835,0.0,1.29,1119,32.5%,11.6%,5.6%
Khon Kaen University,0.16,0.19,620589,8.6,2,3,76681,4.2,0.88,17216,37.4%,1.7%,3.9%
Universidad Nacional de Cordoba,0.01,0.02,253528,17,1.6,0.5,3455,0,1.12,1668,46.5%,1.5%,2.1%
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Padjadjaran,0.39,0.35,50361,7.3,1.5,0.7,4880,1.5,0.82,4216,30%,5.1%,4.4%
Federal University of Viçosa,0.16,0.32,366663,19.4,0.8,12.8,20162,0,0.89,4804,27%,0%,0.8%
University of Antioquia,0.01,0.02,-,9.6,0.1,2.6,107223,2.4,0.94,33836,44.2%,1.3%,0.6%
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kangwon National University,0.11,0.23,295664,10.5,1.8,11.8,46358,1.8,1.05,884,24.6%,0%,0.8%
University of Central Lancashire,0.04,0.06,N/A,13.7,0.9,4.9,12913,0,1.53,591,46.9%,9.6%,16.9%
Obafemi Awolowo University (OAU),0.02,0.03,3441,10,0.9,4.2,463,1.6,1.15,0,41.4%,0%,0.2%
Vietnam National University - Ho Chi Minh City (VNU-HCM),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Marmara University,0.04,0.09,267069,16.4,2.8,2.4,7505,3,0.98,3774,22.8%,0.6%,4.6%
University of Tunis El Manar,0.38,0.21,12618,4,0.0,1.7,4588,0.0,1.38,2,33.9%,0.1%,0.9%
Chungbuk National University,0.2,0.23,311105,8.5,0.7,11.6,178250,1.8,1.24,12044,18.1%,0%,1.4%
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Tamkang University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal de São Carlos,0.33,0.26,207466,8.5,3.8,8.9,25378,2.3,0.88,10,33.1%,1.2%,2.4%
Prince of Songkla University,0.05,0.05,771260,6.4,0,2.2,22044,1,0.81,10121,38.2%,1.3%,2.3%
University of Lethbridge,-,0.06,-,-,0.0,4.9,35030,0.0,1,-,41.7%,-,N/A
Universidad Austral de Chile,0,0,217004,18.1,0.0,2.9,19304,0.0,0.88,7090,62.7%,1.3%,0.5%
University of Pecs,1.38,0.62,616606,9.8,2.8,2.9,25841,2.1,1.48,6985,45.9%,1.3%,39.1%
Thammasat University,0.03,0.04,672469,5.3,2,1.6,17892,1,0.77,4618,34.5%,1.9%,0.7%
Makerere University,0.02,0.03,176,10.7,2.5,7,144,0.4,1.61,16,85.1%,8.7%,8.2%
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,0.21,0.27,15446,14.4,0.8,5.4,14733,0.8,0.93,43,27.9%,1.5%,0.5%
Universidade Federal da Bahia,0.2,0.12,291211,8.7,0,2.2,43156,1.5,1.18,-,30.1%,1.4%,0.3%
Ankara University,0.05,0.04,254703,7.1,4.6,1.5,29140,3.9,1.03,2645,21.7%,1%,6.4%
Universidade Estadual de Londrina,0.08,0.1,537208,8.4,0,2.3,293818,0.8,1.01,-,32.3%,1.1%,0.8%
Dokuz Eylul University,0.16,0.14,175175,4.9,1.5,1.6,31275,0.2,1.02,8201,22.1%,0.5%,2.8%
Chungnam National University,0.44,0.31,-,8.3,0,9.8,129245,1.8,1.18,10885,18%,2.4%,2.9%
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,0.96,0.29,172595,6.1,0.7,16.9,99897,0.7,0.9,2982,16.2%,0%,0.8%
De La Salle University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
"University of the Sunshine Coast, Australia",0.02,0.19,650898,33.3,1.5,15.3,102812,0,1.24,41330,47.9%,16.2%,21.3%
Ege University,0.17,0.28,409645,19,2.5,2.5,64410,0.8,0.86,10511,22.7%,0.1%,2.4%
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
