,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.02,0.06,170131,28.1,0.0,2.5,56277,0.0,N/A,17352,14.3%,0.3%,1.7%
Marmara University,0.05,0.14,150991,30.4,0.0,3.2,27754,0.0,N/A,2614,22.1%,0.8%,2.7%
University of Tunis El Manar,0.3,0.55,49150,9.8,0.5,8.2,26712,0,N/A,565,52.5%,9%,0.9%
Vietnam National University - Ho Chi Minh City (VNU-HCM),-,0.02,-,-,0.8,1.5,3,0,N/A,-,47.6%,-,N/A
Kaunas University of Technology,0.06,0.14,75140,15.8,0.0,4.1,22397,0.0,N/A,3470,32.1%,0.6%,8.3%
Universidade Federal de São Carlos,0.13,0.25,282437,20.2,1.5,4.5,44589,1.5,N/A,5436,32.6%,1.6%,2.1%
Tamkang University,0.01,0.09,274018,33.2,2.2,8.6,35964,0.7,N/A,2712,29.5%,0%,4%
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Cordoba,0.03,0.01,29793,6.1,0.8,1,425,0.8,N/A,293,40.8%,0.6%,4.2%
Federal University of Viçosa,0.01,0.02,350674,12.4,0.7,4.4,25558,0.7,N/A,22792,30.6%,2.3%,0.6%
University of Antioquia,0.03,0.09,-,38.1,0.1,2.2,331611,0.2,N/A,48873,48.1%,0.5%,0.3%
Mohammed V University of Rabat,0.04,0.22,112346,30.6,3.5,6.1,41915,3.5,N/A,36333,31.6%,0%,5.3%
University of Sfax,0.25,0.67,14556,12.4,0.0,9,2941,0.0,N/A,167,51.7%,0%,0.7%
University of Central Lancashire,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kangwon National University,0.02,0.11,527606,30.9,0.0,8.2,94842,0.0,N/A,5827,23%,0.5%,0.8%
Khon Kaen University,0.04,0.14,138671,19.4,0.0,4.7,80679,0.0,N/A,78089,25.9%,0.4%,0.9%
Beijing Jiaotong University,0.1,0.24,502165,18.2,2.5,11.5,239655,5.6,N/A,95152,20.8%,3.6%,4.6%
Pusan National University,0.08,0.46,1224511,28.4,0.8,21.9,660571,3.8,N/A,175363,23.1%,11.2%,10.1%
De La Salle University,0.01,0.05,146615,17.1,2,4.9,23694,3,N/A,0,37.1%,0%,1.6%
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungnam National University,0.09,0.47,-,27.9,2.3,16.1,335041,2.3,N/A,71093,18.3%,0.6%,1.6%
Ege University,0.07,0.22,287552,32.1,0.0,6.4,21339,0.0,N/A,6235,22.9%,5.1%,4%
"University of the Sunshine Coast, Australia",N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Makerere University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,0,0,54943,16.9,0.0,3.6,54547,0.0,N/A,18701,23.9%,5.4%,0.6%
Kharazmi University,0.03,0.04,263746,25,0.0,10.8,56174,0.0,N/A,24996,19.2%,0%,1.4%
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Prince of Songkla University,0.01,0.06,227940,24.9,0.0,8.7,37052,0.0,N/A,3100,35.4%,1.4%,1.6%
Universidad Austral de Chile,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Thammasat University,0.02,0.09,379321,17.5,1.4,4.2,81610,0,N/A,15933,26.1%,7.7%,3.3%
Universidade Estadual de Londrina,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Ankara University,0.05,0.09,823304,17,0.0,2.1,79568,0.0,N/A,3416,27.2%,1.5%,3.3%
Dokuz Eylul University,0.02,0.06,170131,28.1,0.0,2.5,56277,0.0,N/A,17352,14.3%,0.3%,1.7%
Universidade Federal da Bahia,0.24,0.13,52206,35,0.0,3.6,18272,0.0,N/A,N/A,24.8%,3.7%,0.7%
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
