,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.04,0.02,145608,4,0.9,1.5,31754,0.9,N/A,3479,17.1%,0.9%,3%
Marmara University,0.21,0.42,160523,13.2,0.0,2.2,1916,0.0,N/A,41,20.7%,0.6%,4.9%
University of Tunis El Manar,0,0,14773,4.3,0.0,1.5,5394,0.0,N/A,0,29.2%,0.5%,1.1%
Vietnam National University - Ho Chi Minh City (VNU-HCM),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal de São Carlos,0.14,0.13,188050,8.7,0.3,4.1,22734,0.3,N/A,0,32.1%,1.1%,2%
Tamkang University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Cordoba,0.01,0.02,39199,10.9,3.2,0.6,561,1.7,N/A,470,44.8%,0.8%,2.9%
Federal University of Viçosa,0,0,348905,7.7,0.0,13.3,25421,0.0,N/A,2743,24.3%,1.4%,0.2%
University of Antioquia,0.01,0.03,-,11.7,1.7,1.8,98535,1.5,N/A,5450,41.1%,0.6%,0.4%
Mohammed V University of Rabat,0.9,1.44,61995,16.1,6.5,2,22867,0,N/A,6576,22.5%,0%,17.3%
University of Sfax,0.58,0.48,6597,7.8,0.0,3,714,0.0,N/A,0,34.7%,0%,4%
University of Central Lancashire,0.01,0.04,N/A,16.5,1.3,4.2,11364,1.3,N/A,372,43%,11.1%,10.9%
Kangwon National University,0.09,0.2,263019,11.4,0.3,10.3,38099,0.3,N/A,185,21.5%,0%,0.6%
Khon Kaen University,0.09,0.11,721518,9.6,7.7,2,39032,6.5,N/A,28363,37.3%,2.8%,3.6%
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,1.24,0.34,707164,6,1.4,14.9,124470,1.4,N/A,8371,16.3%,0.7%,2%
De La Salle University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungnam National University,0.38,0.26,-,7.1,1.4,8.2,116199,1.4,N/A,8068,21.3%,2.1%,2.7%
Ege University,0.05,0.05,287552,7.2,1.7,1.9,21339,0.9,N/A,6235,19.8%,2%,3.8%
"University of the Sunshine Coast, Australia",0.01,0.11,607965,33.8,1.3,13.3,63251,0,N/A,1174,47.9%,12.4%,15.6%
Makerere University,0.04,0.08,76,7.4,2,7.1,4,3.6,N/A,2,82.9%,7.6%,8.3%
UFG - Universidade Federal de Goiás,0.1,0.14,12490,10.8,0.0,3.1,11883,0.0,N/A,35,24.2%,1.6%,0.5%
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,-,0.03,-,-,0.0,4.3,56409,0.0,N/A,-,37.3%,-,N/A
University of Pecs,0.17,0.08,254926,10.5,3,2.8,115009,1.5,N/A,5927,45.9%,1%,39.6%
Prince of Songkla University,0.06,0.06,922057,6.7,6.5,1.8,22854,5.1,N/A,1912,37.4%,1.4%,2.6%
Universidad Austral de Chile,0.01,0.01,229032,18.6,0,2.3,21569,0.3,N/A,8490,59.7%,0.6%,1.6%
Thammasat University,0.03,0.01,429403,4.8,0.0,1.2,13173,0.0,N/A,3244,33.3%,2.9%,1.1%
Universidade Estadual de Londrina,0.09,0.11,513949,7.1,1.5,1.8,282046,0,N/A,N/A,29.2%,0.9%,0.8%
Ankara University,0.05,0.06,341229,8.9,1.7,1.7,31706,1.5,N/A,1610,17.1%,0.2%,5.1%
Dokuz Eylul University,0.04,0.02,145608,4,0.9,1.5,31754,0.9,N/A,3479,17.1%,0.9%,3%
Universidade Federal da Bahia,0.03,0.09,303779,10.4,0,1.8,42944,1.4,N/A,N/A,29%,1.5%,0.2%
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
