,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0,0,600317,7.2,0.0,9.3,486463,0.0,N/A,333260,27.7%,-,0%
Marmara University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Tunis El Manar,0.51,0.79,97068,12.6,0.0,6.8,38498,0.0,N/A,424,61.6%,6.3%,1.9%
Vietnam National University - Ho Chi Minh City (VNU-HCM),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal de São Carlos,0.28,0.21,411044,9.7,2.5,6,104810,2.5,N/A,65043,30.3%,1%,1.6%
Tamkang University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Cordoba,0.17,0.13,20358,4,1.4,2.1,825,0,N/A,181,43.9%,0.8%,3%
Federal University of Viçosa,0.43,0.82,350506,21.9,1.3,14.5,25537,2.5,N/A,22781,22.6%,1.9%,2.3%
University of Antioquia,0.08,0.12,-,23.3,0.5,3.4,437959,0.6,N/A,34881,47.4%,2.7%,0.9%
Mohammed V University of Rabat,0.11,0.19,43734,16.6,0.9,3,21014,0,N/A,16476,59.9%,2.8%,2.8%
University of Sfax,0.05,0.17,19987,15.9,0.0,10.6,4748,0.0,N/A,0,51.8%,1.5%,0.3%
University of Central Lancashire,0.02,0.06,N/A,9.2,0.0,3.5,2601,0.0,N/A,297,44.9%,9.8%,11.8%
Kangwon National University,0.04,0.16,524525,19.2,0,8.7,143253,1.3,N/A,7661,26.7%,0%,1.9%
Khon Kaen University,0.06,0.25,185391,23.6,2.4,21.1,106549,5,N/A,86236,42.6%,2.2%,1.2%
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
De La Salle University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungnam National University,0.08,0.32,-,21.4,0.0,12.9,330293,0.0,N/A,48520,32.1%,3.5%,3.6%
Ege University,0.1,0.24,287552,26.6,1.6,5.2,21339,0,N/A,6235,26.6%,2.6%,3.3%
"University of the Sunshine Coast, Australia",0.07,0.22,729727,29.4,0.9,14.2,256511,0,N/A,43623,55.7%,20.4%,14.3%
Makerere University,0.03,0.03,18,4.7,1.2,3.7,7,0,N/A,0,81.8%,6.4%,3.9%
UFG - Universidade Federal de Goiás,0.23,0.28,31706,15.4,1.3,10.6,31059,0,N/A,1331,23.2%,2.5%,0.8%
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,-,0.06,-,-,0.0,6.7,78536,0.0,N/A,-,47%,-,N/A
University of Pecs,0.02,0.02,244296,10.1,0.0,9.3,230343,0.0,N/A,11871,50.5%,0%,6%
Prince of Songkla University,0.03,0.12,234327,17.9,1.4,6.4,35193,1.4,N/A,2945,42%,1.5%,2.2%
Universidad Austral de Chile,0.08,0.08,239881,10.9,1.2,5,132184,0,N/A,43167,62.2%,13.5%,3.2%
Thammasat University,0.02,0.03,181387,7.9,0.0,4.9,12790,0.0,N/A,462,34.6%,0%,0%
Universidade Estadual de Londrina,0.25,0.32,182963,14.6,0,3.6,46367,1.4,N/A,N/A,21.7%,2.1%,0.6%
Ankara University,0.08,0.1,414781,13.1,0.8,3.5,42296,0,N/A,2037,22.7%,0.7%,3.1%
Dokuz Eylul University,0,0,600317,7.2,0.0,9.3,486463,0.0,N/A,333260,27.7%,-,0%
Universidade Federal da Bahia,0.05,0.2,173940,15.5,0.0,6.7,78980,0.0,N/A,N/A,28.6%,0%,0.4%
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
