,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.09,0.48,126824,63,0.0,2.4,12969,0.0,N/A,1410,26.7%,-,0.7%
Marmara University,0.32,0.61,170493,62.4,0.0,0.7,78,0.0,N/A,0,14.6%,2.2%,6.3%
University of Tunis El Manar,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Vietnam National University - Ho Chi Minh City (VNU-HCM),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kaunas University of Technology,0,0,51669,11.1,0.0,6.5,9117,0.0,N/A,162,14.9%,0.3%,25.6%
Universidade Federal de São Carlos,0.41,0.65,366801,23.1,2.2,3.6,95222,0,N/A,0,16%,5.5%,1.7%
Tamkang University,0.02,0.03,90156,11.2,1.1,1.2,4144,0,N/A,495,11.4%,4.5%,15.6%
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Cordoba,0.06,0.15,35988,17.6,0.0,1,680,0.0,N/A,487,18%,1.1%,2%
Federal University of Viçosa,0,0,350254,6.2,0.0,2,25519,0.0,N/A,22765,23.1%,1.9%,1.5%
University of Antioquia,0.01,0.04,-,32.2,3.3,0.9,122898,1.2,N/A,3793,28.5%,5.4%,0.6%
Mohammed V University of Rabat,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Sfax,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Central Lancashire,0.01,0.03,N/A,13.6,0.0,3.1,4540,0.0,N/A,469,24.5%,11%,9.6%
Kangwon National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Khon Kaen University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,0.05,0.2,715550,22.6,0.9,3.2,42754,0,N/A,5696,25%,31.2%,28%
De La Salle University,-,-,-,-,1.5,-,-,2.7,N/A,-,19.3%,-,N/A
Canterbury Christ Church University,0,0.01,N/A,20.6,0.0,5.5,1199,0.0,N/A,0,10.1%,21.6%,12.3%
Chungnam National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Ege University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
"University of the Sunshine Coast, Australia",0.03,0.2,1189805,72.9,0.0,18.5,14853,0.0,N/A,0,31.9%,11.8%,12.3%
Makerere University,0,0.03,184,42.1,1.1,4.4,18,0.9,N/A,5,55.6%,11.2%,10.3%
UFG - Universidade Federal de Goiás,0.21,0.3,9403,15.1,0.0,1.2,8927,0.0,N/A,3705,16.5%,3.4%,0.6%
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,-,0.02,-,-,0.0,3.1,11792,0.0,N/A,-,28.7%,-,N/A
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Prince of Songkla University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Austral de Chile,0.01,0.02,178370,12.6,0.0,2.8,61083,0.0,N/A,19635,32.6%,8.3%,2.5%
Thammasat University,0.01,0.05,240481,20.7,0.0,0.7,46656,0.0,N/A,4567,32.4%,17.2%,1.3%
Universidade Estadual de Londrina,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Ankara University,0.11,0.23,43109,46.3,0.0,0.5,4050,0.0,N/A,176,17.4%,1.1%,6.6%
Dokuz Eylul University,0.09,0.48,126824,63,0.0,2.4,12969,0.0,N/A,1410,26.7%,-,0.7%
Universidade Federal da Bahia,0.02,0.12,391847,18,1.1,1.6,76487,2.2,N/A,N/A,20%,3.6%,0.4%
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
