,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.03,0.09,182154,27.8,0.0,2.6,60617,0.0,0.88,21459,13.9%,0.5%,1.4%
Khon Kaen University,0.03,0.11,141775,12.7,0,5.5,95060,0.7,0.96,3674,26.7%,0.4%,1.2%
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Mohammed V University of Rabat,0.03,0.17,125930,29.8,0.8,7.4,43689,0.8,0.85,34807,31.5%,0%,5.2%
University of Sfax,0.14,0.36,13585,10.9,0,11.4,2919,0.8,0.88,0,54.8%,0.5%,0.9%
Universidad Nacional de Cordoba,0.04,0.01,55420,7.5,0.0,0.8,1088,0.0,0.79,1088,42.1%,0.6%,3.3%
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Antioquia,0.03,0.1,-,40.1,0.1,3.6,326192,0.1,0.89,36670,45.6%,0.5%,0.3%
Universitas Padjadjaran,0.09,0.3,193346,19.5,0.0,6.5,66567,0.0,0.89,64609,29.7%,0%,0.9%
Federal University of Viçosa,0.01,0.06,386968,41.9,0.0,12.6,42286,0.0,0.99,21362,28.9%,1.4%,0.2%
Beijing Jiaotong University,0.1,0.18,390010,14.3,5.9,12.1,207307,9.6,0.97,92025,21.6%,12.4%,6.4%
Kangwon National University,0.02,0.15,548145,27.9,1,9.5,103219,0,0.83,10985,22.9%,0.5%,0.9%
University of Calcutta,4.18,0.54,552254,20,1.7,5,188996,0,0.93,34014,17.2%,0%,0.9%
University of Central Lancashire,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),0.08,0.27,21644,25.3,0.8,4.3,4351,0,0.9,298,50.4%,0%,0.1%
University of Tunis El Manar,0.15,0.3,33711,6.7,0.8,11.6,8694,0.8,0.84,456,53.6%,7.1%,1.3%
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.01,0.03,-,20.9,0,1.9,2,5.4,1.2,1,46.7%,0.5%,0.1%
Marmara University,0.04,0.1,226730,29.3,0.0,3.4,20264,0.0,0.92,0,22.9%,0.8%,4.2%
Chungbuk National University,0.04,0.17,176625,20.4,0.0,8.9,97129,0.0,0.76,9983,24.7%,0%,1%
Kaunas University of Technology,0.05,0.11,113150,14.9,0.0,3.7,27858,0.0,0.71,4601,37.1%,1.6%,9.9%
Tamkang University,0.01,0.09,350623,33.5,0.8,9.1,99154,0,0.87,14742,34.5%,0%,3.8%
Universidade Federal de São Carlos,0.1,0.21,271541,20.6,2.7,8.3,35224,0,0.99,4179,32.7%,1.7%,2%
Prince of Songkla University,0.03,0.11,327464,23.1,0,8.1,139849,1.5,0.85,31892,35.6%,1.4%,1.6%
Universidad Austral de Chile,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Makerere University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,0.02,0.02,72687,16.2,0.0,4.3,53855,0.0,0.75,18464,23.5%,2.8%,0.7%
Thammasat University,0.03,0.12,677785,16.3,0.0,5.5,332107,0.0,0.76,35696,27%,5.6%,5.5%
Ankara University,0.06,0.08,702530,19.1,0.7,2.5,104880,0,0.99,6092,27%,2.8%,2.9%
Universidade Estadual de Londrina,0.16,0.31,152236,16.3,0.0,4,36838,0.0,0.86,-,17.9%,5.7%,0.5%
Dokuz Eylul University,0.03,0.09,182154,27.8,0.0,2.6,60617,0.0,0.88,21459,13.9%,0.5%,1.4%
Universidade Federal da Bahia,0.13,0.09,457233,28.8,0.7,3.5,56358,0,0.87,-,25.1%,3.6%,0.2%
Kharazmi University,0.14,0.24,407270,24.3,0.0,16.2,44374,0.0,1.16,5368,20.3%,0%,1.4%
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungnam National University,0.09,0.48,-,27.3,2.7,17.1,303390,1.7,0.76,56180,18.4%,0.6%,2%
De La Salle University,0.01,0.06,241651,16,0.0,4.4,45796,0.0,1.15,0,32.3%,0%,1.5%
Pusan National University,0.08,0.5,1292519,30.4,5.5,24,612964,5.6,0.93,199237,23.6%,9.5%,7.1%
"University of the Sunshine Coast, Australia",N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Ege University,0.08,0.2,497458,26.8,0.5,6.5,77348,0.5,0.87,6126,22.8%,0.6%,2.2%
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
