,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Khon Kaen University,0.04,0.18,200846,15,2.3,22.5,165384,2.7,0.74,9794,42.3%,0.6%,1.3%
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Mohammed V University of Rabat,0.12,0.2,55373,20.2,0.0,3.2,24942,0.0,0.79,17409,54.7%,3.4%,2.6%
University of Sfax,0.16,0.43,19222,13.5,0.0,11.6,5511,0.0,1,0,55.8%,5.9%,0.2%
Universidad Nacional de Cordoba,0.26,0.18,56802,7.1,4.9,2.4,974,3.6,1.01,469,45.4%,0.7%,2%
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Antioquia,0.05,0.09,-,16.2,0.1,3.4,332376,0.6,0.9,47732,46.6%,1.8%,0.8%
Universitas Padjadjaran,0.01,0.04,41662,18.2,0.0,0.6,19630,0.0,0.6,19052,33.8%,0%,0.1%
Federal University of Viçosa,0.59,0.59,402419,13.2,10.5,11.1,46149,13.8,0.83,21362,24.1%,1.1%,1.8%
Beijing Jiaotong University,N/A,0,43316,0.7,0,9,22422,2.7,1,20803,26%,10.1%,2.6%
Kangwon National University,0.05,0.18,536517,19.4,0.0,10.8,143019,0.0,0.81,13825,27.7%,2%,2.1%
University of Calcutta,27.29,1.66,463266,25.1,2.5,1.4,157842,0,0.86,32881,17.2%,0%,0.7%
University of Central Lancashire,0.02,0.03,N/A,7.6,0.0,3.5,3814,0.0,1.22,174,49.1%,12.1%,12.5%
Obafemi Awolowo University (OAU),0.05,0.15,15443,31.7,0.0,3.2,1839,0.0,0.59,164,39.5%,0%,0.1%
University of Tunis El Manar,0.27,0.63,137396,11.1,1.3,6.7,58680,0,0.79,726,63.5%,5.5%,1.1%
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.01,0.04,-,35.6,0.0,2.3,1,0.0,1,0,59%,0%,0%
Marmara University,0.01,0.01,101293,30.1,0.0,9.3,2492,0.0,1.01,0,34.4%,0%,1%
Chungbuk National University,0.06,0.17,217879,16.8,0.0,10.9,129293,0.0,0.78,13915,24.7%,3%,1.3%
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Tamkang University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal de São Carlos,0.24,0.3,482127,13.9,3.1,10.3,128455,3.1,0.94,79364,32.6%,1%,1.4%
Prince of Songkla University,0.03,0.11,259640,15.5,0.9,6.7,83089,0.9,0.87,8666,42.4%,1.5%,2.7%
Universidad Austral de Chile,0.13,0.1,238763,10.7,0.1,5.1,131064,0,1.03,39800,63.1%,13.6%,4.3%
University of Pecs,0.06,0.07,340552,8.9,0.0,9.1,26282,0.0,1.09,1498,49.3%,0%,8.7%
University of Lethbridge,-,0.02,-,-,1,6.7,56591,0,1.09,-,46.4%,-,N/A
Makerere University,0.05,0.06,165,3.3,0.4,3.9,124,0.4,0.96,122,80.3%,6.4%,3.7%
UFG - Universidade Federal de Goiás,0.15,0.14,19338,10.1,2.1,6.8,18218,3.1,0.86,781,25%,0.9%,0.5%
Thammasat University,0.01,0.02,57841,7.1,0.9,5.3,8752,2.3,0.74,189,34.4%,3.7%,0.1%
Ankara University,0.08,0.08,381251,11.3,1,3.5,48188,1,0.77,3897,24.4%,1.8%,3.8%
Universidade Estadual de Londrina,0.27,0.34,184363,14.3,1,3.9,46745,1,0.85,-,22.8%,1.2%,0.4%
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal da Bahia,0.15,0.1,519460,14.8,1,8.1,68508,1,0.9,-,29.3%,0%,0.6%
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungnam National University,0.1,0.42,-,21.7,0,13.3,353706,1,0.79,31735,31.1%,2.6%,3.4%
De La Salle University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
"University of the Sunshine Coast, Australia",0.13,0.31,641816,23.9,0.0,15.9,245176,0.0,1.38,43805,57.5%,15.7%,15.2%
Ege University,0.08,0.2,497458,19.1,1.5,5.2,77348,1,0.78,1460,27.5%,0%,1.4%
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
