,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.03,0.2,128849,63.6,1.2,0.7,4791,0,1.13,501,26.4%,1.5%,1%
Khon Kaen University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Mohammed V University of Rabat,0.04,0.51,71732,85.3,0.0,1.2,48096,0.0,0.67,33123,19%,0%,1.8%
University of Sfax,0.08,0.3,11473,23.9,1.3,2,1216,0,1,0,40.1%,1.1%,1.4%
Universidad Nacional de Cordoba,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Antioquia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Padjadjaran,0.13,0.13,37442,7,2.9,0.5,2561,2.9,0.76,2486,36.7%,0%,0.4%
Federal University of Viçosa,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Beijing Jiaotong University,0.13,0.21,552469,21.5,0,2.9,90304,1.2,0.72,51279,27.6%,23.8%,9.1%
Kangwon National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Calcutta,7.33,0.3,405183,36.5,0,0.7,11361,1.4,0.7,5833,15.7%,0%,0.4%
University of Central Lancashire,0.02,0.09,N/A,19.2,0.0,2.5,636,0.0,1.4,27,29.7%,12.1%,42.6%
Obafemi Awolowo University (OAU),0.03,0.22,22582,45.1,3.6,1.7,204,0,0.76,0,28.2%,1.7%,0.3%
University of Tunis El Manar,0.15,0.42,33479,15.8,0.0,1.4,16208,0.0,1.08,0,47.1%,0.7%,3.6%
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.01,0.02,-,26.2,0.0,0.9,0,0.0,1.12,0,36.2%,11.7%,0.1%
Marmara University,0.03,0.18,149456,51,2,0.6,552,0,0.71,0,21%,0%,4%
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kaunas University of Technology,0.04,0.14,82369,20.3,0.0,3.2,12396,0.0,0.64,482,34.5%,1.3%,4.3%
Tamkang University,0,0.02,248422,35.2,3.7,1.7,10071,1.2,0.88,911,29.9%,1.4%,9.8%
Universidade Federal de São Carlos,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Prince of Songkla University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Austral de Chile,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Makerere University,0,0.08,187,36.3,0,1.7,33,0.7,0.83,26,39.8%,7.1%,2.7%
UFG - Universidade Federal de Goiás,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Thammasat University,0,0.01,540678,16.5,2.4,1.4,148470,1.5,0.89,33504,39.8%,13.1%,0.7%
Ankara University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Estadual de Londrina,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Dokuz Eylul University,0.03,0.2,128849,63.6,1.2,0.7,4791,0,1.13,501,26.4%,1.5%,1%
Universidade Federal da Bahia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungnam National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
De La Salle University,0,0.02,377881,26.1,0.0,1.1,30691,0.0,0.96,0,35.6%,1.1%,3.6%
Pusan National University,0.06,0.4,557418,34.1,1.6,3.6,74465,0,1.37,46557,46.5%,4.2%,16.3%
"University of the Sunshine Coast, Australia",0.01,0.06,464239,27.7,0.0,4.9,5470,0.0,1.15,498,47%,20.5%,39.5%
Ege University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
