,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.01,0.06,138142,62.9,0.0,2.8,15237,0.0,0.73,1838,24.9%,-,0.5%
Khon Kaen University,0.03,0.16,128551,23,0.0,1.2,39170,0.0,0.98,4300,33.2%,15.1%,2.4%
Chapman University,0,0,-,16.6,0.0,5.2,67244,0.0,1.27,40758,17.8%,1.6%,3%
Mohammed V University of Rabat,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Sfax,0.02,0.06,11216,18.4,0.0,4.1,1792,0.0,1.23,0,42.4%,0%,0.9%
Universidad Nacional de Cordoba,0.03,0.05,54321,16.3,2.9,0.4,254,0.9,1.01,254,19%,0.4%,0.8%
Universidad del Norte,0,0.02,403566,31.4,0.1,4.4,23472,0,0.91,18357,49.3%,8%,2.7%
University of Antioquia,0.02,0.03,-,18.1,0.0,1.3,24081,0.0,0.49,3500,26.9%,3.5%,0.7%
Universitas Padjadjaran,0.07,0.32,61697,28,0.0,0.4,7824,0.0,0.48,7594,17.5%,0%,0.2%
Federal University of Viçosa,0.06,0.05,365042,5.5,0.0,2.4,36805,0.0,0.63,21362,24.4%,0.9%,1.4%
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kangwon National University,0.05,0.28,361248,24.6,0.0,3.5,18945,0.0,0.99,2729,32.9%,0%,2.5%
University of Calcutta,5.8,0.45,425106,23.6,0.0,0.6,28112,0.0,0.53,8667,10.9%,0%,0.9%
University of Central Lancashire,0.01,0.03,N/A,12.1,0.0,3.6,5665,0.0,1.2,492,23.1%,10.8%,10.3%
Obafemi Awolowo University (OAU),0.07,0.33,19869,25.6,1,1.7,9280,0.1,0.54,2861,29.9%,0%,0.1%
University of Tunis El Manar,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Vietnam National University - Ho Chi Minh City (VNU-HCM),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Marmara University,0.07,0.21,312170,37.2,0.0,0.5,775,0.0,0.83,0,17.5%,2.1%,6.3%
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kaunas University of Technology,0.09,0.13,34340,7.5,0.0,6.4,1800,0.0,0.6,550,23.3%,0.3%,6.5%
Tamkang University,0.02,0.03,99478,11.5,0.0,1.2,3853,0.0,0.69,0,15.5%,3.6%,15%
Universidade Federal de São Carlos,0.34,0.76,421108,25,1,5.6,98837,1,0.5,0,16.8%,5.6%,1.8%
Prince of Songkla University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Austral de Chile,0.16,0.11,157069,11.1,0,2.9,52519,0.8,0.73,15698,35.6%,12.4%,3%
University of Pecs,0.01,0.01,300258,7.8,0.0,2.5,17278,0.0,1.04,473,23.4%,1.2%,6.2%
University of Lethbridge,-,0.02,-,-,0.0,3.9,12201,0.0,1.23,-,29.5%,-,N/A
Makerere University,0,0.04,146,36.7,0.9,4.9,32,1.5,0.9,20,56%,11.2%,4.7%
UFG - Universidade Federal de Goiás,0.04,0.08,13144,15.8,0.0,1.4,9048,0.0,0.43,3755,18.2%,4.5%,0.4%
Thammasat University,0.01,0.04,273401,17.2,0,0.9,81715,0.8,0.81,7067,30.9%,12.9%,1.1%
Ankara University,0.11,0.21,46617,46.1,0,0.6,5147,1.6,0.82,397,17.4%,1.9%,7.8%
Universidade Estadual de Londrina,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Dokuz Eylul University,0.01,0.06,138142,62.9,0.0,2.8,15237,0.0,0.73,1838,24.9%,-,0.5%
Universidade Federal da Bahia,0.69,0.28,191122,17.6,1.7,1.5,74777,2.4,0.52,-,19.4%,0.6%,0.4%
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Canterbury Christ Church University,0.01,0.06,N/A,20.4,0.0,6,1957,0.0,0.98,182,9.2%,20.2%,12.7%
Chungnam National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
De La Salle University,0.04,0.1,194285,12.9,0.4,2.3,33138,0.4,0.84,0,20.6%,1.9%,0.7%
Pusan National University,0.06,0.23,665546,48,0.8,3.6,83747,0,0.93,72384,28.9%,27.5%,12.5%
"University of the Sunshine Coast, Australia",0.05,0.32,981960,57.9,0.0,18.9,22790,0.0,1.31,148,34.1%,11.7%,13.4%
Ege University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
