,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Khon Kaen University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Mohammed V University of Rabat,0.04,0.26,75050,14.9,0.0,10.8,16751,0.0,0.83,11220,24%,3.8%,5.3%
University of Sfax,0.1,0.19,7736,10.7,0.0,13.2,1301,0.0,0.79,0,48.2%,1.3%,2.6%
Universidad Nacional de Cordoba,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Antioquia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Federal University of Viçosa,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Beijing Jiaotong University,0.06,0.15,585786,21.7,1.2,19,117179,0.6,1.05,32916,26.8%,16.9%,4.4%
Kangwon National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Calcutta,4.67,0.67,383052,28,0.6,8.3,59479,0,0.72,30827,14.6%,0%,0.5%
University of Central Lancashire,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Tunis El Manar,0.09,0.17,32677,9.3,0.0,9.1,11079,0.0,0.72,417,44.1%,0.4%,1.8%
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.01,0.04,-,30.1,4.2,4.5,1,4.2,0.88,0,35.4%,0%,0.2%
Marmara University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungbuk National University,0.06,0.22,168335,18.3,0.0,8.3,96887,0.0,0.9,6507,21.4%,2.7%,1.5%
Kaunas University of Technology,0.01,0.02,81950,24.7,0.0,5.2,2619,0.0,0.95,806,37.7%,2.5%,2.9%
Tamkang University,0.01,0.07,253575,32,1.7,21.2,23130,1.7,0.61,3090,22.5%,0%,8.5%
Universidade Federal de São Carlos,0.07,0.1,269307,15.1,0.0,13.3,24726,0.0,0.87,1,25.9%,1.7%,1.9%
Prince of Songkla University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Austral de Chile,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Makerere University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,0.03,0.06,46599,30.1,0.0,7.6,24851,0.0,0.66,21185,26.4%,2.8%,0.5%
Thammasat University,0,0,387565,12.5,0.0,12,152143,0.0,0.56,8289,33.4%,1.6%,0%
Ankara University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Estadual de Londrina,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal da Bahia,0.5,0.05,209021,29,0.0,10.1,57253,0.0,0.8,-,27.2%,14.3%,0.1%
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungnam National University,0.06,0.3,-,26.3,0.7,25.6,273912,0.7,0.59,24247,16.6%,0%,1.3%
De La Salle University,0.03,0.13,218027,15.8,0.5,7.4,33468,0,0.97,0,15.4%,3.7%,2.6%
Pusan National University,0.16,0.89,907232,15.7,0.7,26.8,656367,0,0.84,156970,19.5%,17%,12.9%
"University of the Sunshine Coast, Australia",N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Ege University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
