,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.08,0.13,161260,13.8,0.0,11.1,48775,0.0,0.79,349,22.6%,6.6%,1.4%
Khon Kaen University,0.07,0.23,198212,20.8,1.9,7,40916,0,0.83,914,29.6%,2.3%,0.6%
Chapman University,0,0,-,2.8,0.0,14,33902,0.0,1.18,5645,60.2%,5.5%,3.9%
Mohammed V University of Rabat,0.03,0.07,52416,15.7,0.0,4.9,18826,0.0,0.86,15174,37.4%,0%,2.1%
University of Sfax,0.69,0.49,7963,8,0,8.9,2333,3.6,0.85,0,53.4%,4.1%,1.8%
Universidad Nacional de Cordoba,1.03,0.24,44181,11.7,1,8.6,776,1,0.94,776,47.8%,7%,3.8%
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Antioquia,0.27,0.16,-,13.4,0.1,4.6,343132,0,0.94,35462,57.2%,7.8%,0.4%
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Federal University of Viçosa,0.13,0.03,380362,3.3,0.9,8,40635,0.9,0.87,21362,27.9%,5.4%,1.3%
Beijing Jiaotong University,0.26,0.16,244128,8.2,4.1,40,92657,1.3,0.98,31583,21.5%,20.3%,0.5%
Kangwon National University,0.04,0.13,425023,14.2,0.0,34.4,119406,0.0,1.01,4446,29.8%,0%,0.2%
University of Calcutta,20.75,1.27,492165,14.9,2.1,4.1,259399,1.1,0.78,30298,21.7%,0%,0.9%
University of Central Lancashire,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Obafemi Awolowo University (OAU),0.09,0.1,8663,10.3,1,2.2,1954,0,0.74,653,49.6%,0.7%,0%
University of Tunis El Manar,0.29,0.36,41594,10.8,0,10.9,25206,3.6,0.7,786,55.2%,5.1%,0.6%
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.02,0.06,-,16.7,0.0,6.7,0,0.0,1.03,0,47.4%,0%,0%
Marmara University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungbuk National University,0.03,0.08,169126,11.4,0.0,17.9,87867,0.0,0.77,9124,29.3%,2%,0.3%
Kaunas University of Technology,0.06,0.05,76722,6.1,0.0,9.8,16894,0.0,0.83,10226,42%,0.6%,1.2%
Tamkang University,0.01,0.06,215341,21.9,0.0,12.8,51427,0.0,0.9,661,40.3%,2%,3.4%
Universidade Federal de São Carlos,0.41,0.28,329250,12.5,1,13.3,54479,0,0.92,4210,32.5%,6%,2.5%
Prince of Songkla University,0.05,0.1,156434,9.5,0,3.6,23419,1.9,0.81,2982,36.6%,0.8%,3%
Universidad Austral de Chile,0.09,0.03,189251,9.2,0.0,7.9,94914,0.0,1.16,31942,70.2%,11.8%,6.3%
University of Pecs,0.17,0.08,203747,5.3,0.0,9.9,125347,0.0,0.8,6345,42.1%,3.1%,33.1%
University of Lethbridge,-,0.14,-,-,0.0,13.1,33184,0.0,1.02,-,58.5%,-,N/A
Makerere University,0.01,0.03,206,10.4,0.0,5.4,151,0.0,0.88,135,71.6%,6.6%,5.5%
UFG - Universidade Federal de Goiás,0.24,0.12,30179,10.8,0.0,6.8,17391,0.0,0.89,12191,30.3%,4.3%,0.2%
Thammasat University,0.02,0.08,229787,15.7,0.0,10.6,13288,0.0,0.71,4768,34.3%,0.9%,0.8%
Ankara University,0.2,0.13,177260,15.2,0.9,4.9,19413,0.9,0.9,1846,34.7%,0.4%,3.2%
Universidade Estadual de Londrina,0.5,0.55,133694,18.6,0.0,4.4,33748,0.0,0.84,-,20.8%,1.1%,1.1%
Dokuz Eylul University,0.08,0.13,161260,13.8,0.0,11.1,48775,0.0,0.79,349,22.6%,6.6%,1.4%
Universidade Federal da Bahia,0.55,0.3,394335,32.2,0.0,8.1,73133,0.0,0.85,-,31.6%,19%,0.2%
Kharazmi University,0.14,0.21,232418,14.8,0.0,13.2,44294,0.0,1.02,15947,21.9%,0%,1.5%
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungnam National University,0.07,0.27,-,20.5,1.2,29.5,138112,2.5,0.77,9760,27.4%,2.2%,1.3%
De La Salle University,0.01,0.02,88835,5.6,0.0,5.6,12627,0.0,1.09,0,37.3%,2.4%,3.1%
Pusan National University,0.1,0.46,800349,21.6,3,32.5,304900,2.2,1.12,52047,32.2%,14.2%,9.8%
"University of the Sunshine Coast, Australia",N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Ege University,0.05,0.25,497458,47.5,0.0,17,77348,0.0,0.77,832,28.2%,1.3%,0.9%
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
