,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.05,0.03,170648,3.9,1.2,1.6,34852,0,1.01,4698,20%,1.2%,2.9%
Khon Kaen University,0.11,0.13,423374,7.2,0,2.2,54179,2.6,0.95,23136,38.3%,2.7%,3.6%
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Mohammed V University of Rabat,0.87,1.35,70168,15.5,0.0,1.9,22957,0.0,0.87,7992,25.7%,0%,18.2%
University of Sfax,0.66,0.59,6163,8.3,0.0,3.3,240,0.0,0.72,0,38%,0%,3.4%
Universidad Nacional de Cordoba,0.01,0.02,61006,12.4,1.5,0.5,1053,3,1.01,517,45.6%,1.2%,2.5%
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Antioquia,0.02,0.03,-,10.5,0.4,2.1,40592,0.1,0.83,5375,42.5%,0.6%,0.5%
Universitas Padjadjaran,0.42,0.45,61177,9.9,3.1,0.6,11194,3.1,0.69,10865,33.5%,0.6%,4.4%
Federal University of Viçosa,0.11,0.1,356962,10.7,0.0,7.9,34785,0.0,0.83,21362,24.9%,0.9%,0.4%
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kangwon National University,0.09,0.17,271777,10.6,0.0,10.8,41688,0.0,1.06,899,23.5%,0%,0.8%
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Central Lancashire,0.02,0.05,N/A,14.2,0.4,4.5,11496,0.4,1.37,388,45.9%,10.2%,14.5%
Obafemi Awolowo University (OAU),0.04,0.03,6499,7.8,1.3,3.6,2679,1.3,0.96,1324,39.9%,0%,0.2%
University of Tunis El Manar,0.17,0.18,17131,4.4,0.0,1.8,6624,0.0,1.16,2,30%,0.4%,1.1%
Vietnam National University - Ho Chi Minh City (VNU-HCM),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Marmara University,0.05,0.1,233873,15,0.0,2.2,1943,0.0,0.95,0,21.8%,0.4%,6.1%
Chungbuk National University,0.22,0.18,229121,8.3,1.7,9.1,92248,3,1.14,2559,18.6%,0%,0%
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Tamkang University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal de São Carlos,0.14,0.14,217862,8,2.3,8.1,23874,4.7,0.91,0,33.2%,1.1%,2.3%
Prince of Songkla University,0.05,0.05,904934,6.7,0.0,2.1,21001,0.0,0.95,6104,38.9%,1.2%,2.5%
Universidad Austral de Chile,0,0,223254,18.5,0.0,2.3,20675,0.0,0.97,7568,61.3%,1%,0.8%
University of Pecs,1.36,0.71,386030,10.1,1.8,2.7,40602,2.2,1.54,6030,45.6%,1.4%,39.8%
University of Lethbridge,-,0.04,-,-,0.0,4.4,40058,0.0,1.07,-,39.4%,-,N/A
Makerere University,0.03,0.05,282,13.2,5.4,7.6,191,0.9,2.21,184,83.6%,7.6%,10.2%
UFG - Universidade Federal de Goiás,0.17,0.17,11684,9.9,0.0,3.2,11158,0.0,0.91,33,25.8%,1.4%,0.5%
Thammasat University,0.03,0.02,529583,4.8,0.0,1.3,15539,0.0,0.86,4350,34.9%,2.2%,0.8%
Ankara University,0.05,0.05,348199,8.8,1.3,1.7,37578,3.9,0.9,3411,18.6%,0.9%,6.1%
Universidade Estadual de Londrina,0.08,0.08,500544,6.9,4.7,1.8,275508,2.3,0.99,-,31.3%,1.1%,0.5%
Dokuz Eylul University,0.05,0.03,170648,3.9,1.2,1.6,34852,0,1.01,4698,20%,1.2%,2.9%
Universidade Federal da Bahia,0.17,0.07,303884,10.4,1.2,2,40912,2.3,1.08,-,30.1%,1.4%,0.2%
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungnam National University,0.45,0.35,-,8.1,1.7,9.3,164530,1.7,1.08,11131,19.8%,2.4%,2.7%
De La Salle University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,1.25,0.3,707009,7.2,0,15.4,125355,3.9,0.93,6115,16.1%,0.8%,1.8%
"University of the Sunshine Coast, Australia",0.02,0.19,557756,31.2,2.6,13.7,41385,0,1.33,1115,47.5%,16.2%,18.4%
Ege University,0.27,0.31,497458,12.4,2.5,2.6,77348,1.3,0.82,8731,20.8%,0%,4.1%
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
