,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.01,0.12,109058,60.9,0.7,1.2,5692,0.3,1.35,3928,26.2%,0%,3.9%
Mohammed V University of Rabat,0.06,0.74,77460,103.1,0.9,1.7,49343,0.9,0.59,33310,20.4%,0%,2.5%
University of Sfax,0.05,0.18,12021,23.4,0.1,2.5,805,0.7,1.16,526,43.1%,0.8%,2%
Khon Kaen University,0.01,0.1,239582,35.9,0.5,2.1,35290,0.5,1.01,13407,33.9%,12.7%,4%
Chapman University,0,0,-,27.3,7.7,2.5,33604,12.6,0.98,0,38.2%,7.1%,8.8%
Universitas Sebelas Maret,0.09,0.16,85987,13.5,1.9,2.3,60020,1.6,0.53,40100,18.4%,16.2%,1%
University of Antioquia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Padjadjaran,0.14,0.18,106952,11.3,2.6,1,19334,2.9,0.57,12847,44.2%,2%,0.4%
Universidad Nacional de Cordoba,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Federal University of Viçosa,0.33,0.13,370194,14.6,1.7,1.8,43582,2.1,0.75,13544,18.5%,1.7%,1.1%
Kangwon National University,0.02,0.15,587138,36.9,0.3,3.1,24277,0.3,1.2,1953,34%,1.5%,8.3%
Beijing Jiaotong University,0.13,0.26,407501,20.9,0,3.9,65016,7.7,0.78,16479,29.1%,13.3%,5.5%
University of Calcutta,36,0.35,254776,27.1,5.8,1.8,8913,4.8,0.93,3972,14.2%,0%,0.3%
University of Central Lancashire,0.02,0.1,N/A,19.9,0,2.6,1100,0.4,1.45,307,34.9%,16.2%,55.8%
Vietnam National University - Ho Chi Minh City (VNU-HCM),0,0.02,7,30.3,2.6,1.1,0,2.6,0.97,0,32.2%,3.7%,0.2%
Marmara University,0.02,0.14,127573,42.1,1.9,0.8,733,1.8,0.94,431,21.8%,0%,6.4%
Obafemi Awolowo University (OAU),0.05,0.59,138109,61.4,3.8,5.4,3739,2.8,0.86,0,35.6%,2%,0.4%
University of Tunis El Manar,0.09,0.5,131219,34.8,0.1,4.2,53704,0.1,1.2,2516,46.3%,1.9%,4.1%
Rowan University,0,0,345033,28.6,0.0,2.5,188,0.0,1.73,0,28.2%,21.2%,3.3%
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kaunas University of Technology,0.04,0.11,302851,17.7,5.2,4,52560,5.9,0.86,5082,42.7%,1.5%,4.1%
Universidade Federal de São Carlos,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Tamkang University,0,0.01,208128,29.1,2,1.4,16231,4.4,0.97,893,33.4%,1.6%,9.5%
Prince of Songkla University,0,0.01,632642,33.9,0.3,1,21906,0.3,1.05,6188,35.1%,3.2%,0.2%
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Austral de Chile,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Makerere University,0,0.08,1437,52.9,3,2.8,108,3.6,0.93,2,42.6%,9.3%,1.6%
Kharazmi University,0.32,0.43,114446,25.4,0.0,2.1,9719,0.0,0.99,357,38.9%,0%,2%
Thammasat University,0,0.01,558142,13.2,4.7,1.5,225280,1.1,0.88,27758,39%,10.4%,1.1%
Dokuz Eylul University,0.01,0.12,109058,60.9,0.7,1.2,5692,0.3,1.35,3928,26.2%,0%,3.9%
Ankara University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Estadual de Londrina,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal da Bahia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Educacion a Distancia,0.01,0.03,-,55,0.7,2.1,-,0.3,1.01,-,29.3%,0.8%,2.1%
Chungnam National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,0.03,0.25,1455199,31.8,0.0,5.1,67096,0.0,1.78,10530,53.2%,5.1%,11.1%
De La Salle University,0,0.02,349662,22.7,1.3,1.6,29963,0.8,0.9,0,39.4%,0.6%,3.6%
"University of the Sunshine Coast, Australia",0.01,0.07,397678,22.8,0.9,7.3,7009,0,1.31,48,51.1%,19%,25.8%
Ege University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
