,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.01,0.08,97784,35.1,0,0.7,4377,0.6,0.64,1490,7.5%,0%,2.5%
Mohammed V University of Rabat,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Sfax,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Khon Kaen University,0.13,0.69,156381,35.2,1.7,1.9,7672,1.9,0.7,1719,27.6%,67.6%,0.7%
Chapman University,0.23,0.26,-,9.3,2.4,2.6,24878,0.6,1.52,0,12.5%,2.1%,4.1%
Universitas Sebelas Maret,0.03,0.07,92149,23,2,0.5,75450,1.7,0.79,68316,9.9%,9.8%,0.5%
University of Antioquia,0.01,0.09,-,73.9,0.5,0.8,32937,0.4,0.53,2802,23.6%,1.3%,0.1%
Universitas Padjadjaran,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Nacional de Cordoba,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad del Norte,0.09,0.11,145137,7.8,0,4,27909,0.9,0.73,13510,40.5%,29.5%,2.7%
Federal University of Viçosa,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kangwon National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Central Lancashire,0.06,0.08,N/A,7.3,0,4,1882,1.3,1.35,0,30.9%,3%,10.6%
Vietnam National University - Ho Chi Minh City (VNU-HCM),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Marmara University,0.05,0.33,276602,52.8,0,0.8,1210,0.6,0.72,320,18.2%,2.4%,2.4%
Obafemi Awolowo University (OAU),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Tunis El Manar,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Rowan University,0.1,0.19,202540,14.6,0.0,1.8,2306,0.0,1.15,0,9.2%,8.2%,1.6%
Chungbuk National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal de São Carlos,0.36,0.52,205411,19.8,2.7,3.2,16415,2.3,0.32,0,14.8%,0%,0.4%
Tamkang University,0.01,0.03,141762,16.3,0.0,2.5,36039,0.0,0.79,2493,13.8%,5%,4.9%
Prince of Songkla University,0.02,0.05,382855,19,0.0,1.1,80937,0.0,1.09,9573,27.3%,1.8%,0.3%
University of Lethbridge,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidad Austral de Chile,0,0,319918,29.3,0.1,1.7,13762,1.3,0.68,4206,45.7%,6.3%,0.7%
University of Pecs,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UFG - Universidade Federal de Goiás,0.17,0.1,98391,7.6,0.9,0.5,6809,0.9,0.36,305,13.1%,2.9%,0.4%
Makerere University,0,0.05,161,32,0.9,1.1,67,4.1,0.68,1,52.4%,7.4%,0.8%
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Thammasat University,0,0,470972,4.9,0.0,2.1,46834,0.0,0.98,30681,27.8%,14.8%,0%
Dokuz Eylul University,0.01,0.08,97784,35.1,0,0.7,4377,0.6,0.64,1490,7.5%,0%,2.5%
Ankara University,0.08,0.15,86212,19,2.3,0.9,16123,3.3,0.79,757,16.3%,2.9%,1.7%
Universidade Estadual de Londrina,0.06,0.11,87949,15.1,1.3,2.3,27419,0.9,0.27,1100,22.1%,0%,0.3%
Universidade Federal da Bahia,0.32,0.66,112050,23.4,0.9,1.4,16722,1.9,0.44,1236,20.3%,0%,0.2%
Universidad Nacional de Educacion a Distancia,0.03,0.21,-,63.3,6,5.7,-,6,1.25,-,25.6%,0%,3.6%
Chungnam National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Canterbury Christ Church University,0.05,0.14,N/A,18,4.7,1,4412,2.8,0.9,0,11.9%,8.1%,7%
Pusan National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
De La Salle University,0.72,0.16,111449,8.3,1.3,1.3,5730,1.3,1.12,0,20.8%,0%,9.3%
"University of the Sunshine Coast, Australia",0.02,0.07,427582,24.9,0.9,6.6,596,0.9,1.17,0,19.5%,8.4%,6%
Ege University,0,0.01,299744,29.8,0.6,1.2,49827,1.7,0.73,6772,16.7%,0%,1.3%
