,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Mohammed V University of Rabat,0.14,0.28,73977,28.2,1.3,5.3,31516,0,0.97,21625,49.8%,4%,2%
University of Sfax,0.32,0.35,36853,31.8,0.2,14.1,12150,0.2,1.16,5098,63.7%,0%,1.4%
Khon Kaen University,0.06,0.31,288125,27.5,5.9,31.7,162534,9.4,0.75,2456,40.4%,1.3%,1%
Chapman University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Antioquia,0.07,0.16,-,17.8,0.4,4.7,309187,3.1,1.02,26978,48.9%,4.3%,0.1%
Universitas Padjadjaran,0.02,0.03,113554,12.8,3.2,1.3,25035,4,0.59,12048,28.1%,10.8%,0.4%
Universidad Nacional de Cordoba,0.2,0.04,82414,8.7,17.6,1.5,1233,14.5,0.97,808,45.3%,1%,1.2%
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Federal University of Viçosa,0.73,0.25,361917,10.6,21.1,11.1,35305,18.5,0.84,21647,27%,1.4%,2.7%
Kangwon National University,0.09,0.35,558508,21.1,0.9,13.3,169012,3,0.92,16006,29.9%,2.1%,1.9%
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Calcutta,40.38,1.82,254935,16.9,10.4,6.7,88339,5.3,0.86,24744,18.1%,0%,0.4%
University of Central Lancashire,0.06,0.11,N/A,6.9,2.9,4.8,2743,1.8,1.21,439,54%,12.6%,11.8%
Vietnam National University - Ho Chi Minh City (VNU-HCM),0,0.03,5,21.6,0.0,2.7,1,0.0,1.02,0,52%,0%,0.1%
Marmara University,0,0.01,137894,23.7,0.6,7.5,9858,1.7,1.02,6644,36.7%,0%,8.5%
Obafemi Awolowo University (OAU),0.08,0.26,71774,28.6,2.1,4.1,1751,7.4,0.61,0,37.7%,0%,0%
University of Tunis El Manar,0.33,0.54,197018,9.2,0.2,9.6,67101,0,0.91,5089,66.1%,4.5%,2.2%
Rowan University,0,0.02,220671,18.4,0.0,6.6,32848,0.0,1.1,2315,26.8%,6.5%,3.9%
Chungbuk National University,0.07,0.22,243351,15.5,0.9,12.1,180609,2,0.87,20085,25.3%,2.8%,1.9%
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal de São Carlos,0.24,0.18,318972,10.2,4.4,8.8,78337,8.2,0.92,53572,34.5%,1.8%,1.5%
Tamkang University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Prince of Songkla University,0.02,0.07,241701,11.9,4.3,8.2,113220,7.2,0.89,45854,44.3%,2.5%,4.2%
University of Lethbridge,-,0.04,-,-,0.2,7.8,67389,0.8,1.08,-,47.4%,-,N/A
Universidad Austral de Chile,0.15,0.11,209861,10.3,4.7,5.8,109391,5.1,1.07,29179,64.1%,12.6%,2.9%
University of Pecs,0.04,0.05,292963,10.6,3.7,12.8,9574,3.9,1.08,3647,47.6%,0%,12.9%
UFG - Universidade Federal de Goiás,0.15,0.18,232766,13.3,2.1,7.8,102118,3.7,0.87,1484,27.9%,2%,1.2%
Makerere University,0.02,0.06,530,7.7,8.1,5.5,416,8.9,0.95,8,82%,9.5%,3.4%
Kharazmi University,0.23,0.38,109349,19.3,1.3,7.3,12742,1.3,0.96,958,29.8%,0%,1.2%
Thammasat University,0.02,0.02,184406,10,1.2,7.7,20073,0,0.72,3366,32.9%,1.6%,0%
Dokuz Eylul University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Ankara University,0.07,0.08,286421,11.3,2.8,4,35398,4,0.88,2933,27.7%,2.3%,3.8%
Universidade Estadual de Londrina,0.23,0.29,150052,10.8,1,8.5,37704,2.4,0.83,46,24.5%,0.6%,0.4%
Universidade Federal da Bahia,0.22,0.16,359518,18.7,1.9,7.9,8942,1.1,0.92,661,32.5%,0%,0.3%
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungnam National University,0.14,0.56,-,21.1,4.8,15.1,327044,3.9,0.89,28463,29.5%,2.6%,3.8%
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
De La Salle University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
"University of the Sunshine Coast, Australia",0.12,0.33,712926,29.2,1.4,21.5,212009,3.4,1.39,26178,62.2%,28%,13.8%
Ege University,0.06,0.18,320288,17.6,1.3,4.6,135180,2.3,0.9,14862,27.3%,1.1%,4.2%
