,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.01,0.01,73258,15.7,0.7,13.9,3125,0,0.86,11,22.5%,0%,2.7%
Mohammed V University of Rabat,0.08,0.27,70524,26.8,5,7.8,43045,13.9,0.94,20260,39.9%,0.3%,1.4%
University of Sfax,0.49,0.25,8132,8.5,4.3,12.5,2522,9.5,0.94,611,58.9%,0%,2.6%
Khon Kaen University,0.12,0.22,90714,18.6,0,9.2,34668,2.1,1.01,24725,32%,1.4%,1.2%
Chapman University,0,0,-,3,0.6,12.4,45224,0.7,1.13,0,61.2%,6%,8.7%
Universitas Sebelas Maret,0,0,110542,14.4,0.3,41.1,81688,0.3,0.95,60013,9.1%,22.6%,0.6%
University of Antioquia,0.12,0.15,-,14,0,10.3,20815,2.1,0.97,979,55.9%,11.7%,0.3%
Universitas Padjadjaran,0.01,0.03,96992,12.4,0.3,7.2,17533,0.7,0.97,8147,22.2%,1.3%,0%
Universidad Nacional de Cordoba,0.56,0.06,114370,8.7,7.8,7.2,1348,8.9,0.91,1348,51%,4.1%,2.6%
Universidad del Norte,0.08,0.03,89380,6.1,0.0,10.4,10564,0.0,0.98,1294,56.9%,6.2%,0.5%
Federal University of Viçosa,0.9,0.1,347653,5.6,1.7,12.8,21042,1.1,0.85,7517,26.4%,3.3%,2.2%
Kangwon National University,0.05,0.18,515973,17.7,3.3,51.7,131038,2.5,0.97,11652,30.2%,0%,0.5%
Beijing Jiaotong University,0.11,0.11,349940,8.5,4.2,66.9,43303,7.2,0.94,16330,19.3%,11.3%,0.4%
University of Calcutta,41,1.78,295265,11.5,12.4,16.2,158069,10.5,0.82,24505,20.7%,0%,0.5%
University of Central Lancashire,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.03,0.07,2,12.5,0,5.8,1,3.3,1.06,0,42.8%,0.3%,0%
Marmara University,0.03,0.09,364914,27.4,0.7,17,5498,0,0.92,0,26.7%,1.5%,3.8%
Obafemi Awolowo University (OAU),0.07,0.06,27709,9.5,7.7,4.8,906,7.5,0.84,0,45.8%,0.5%,0.1%
University of Tunis El Manar,0.17,0.49,95620,10.9,4.3,19.6,50018,8.6,0.76,3085,58.4%,6.7%,2.6%
Rowan University,0,0,61531,4.4,0.0,6.2,7761,0.0,1.28,1505,38.5%,14.7%,3.3%
Chungbuk National University,0.04,0.09,117360,11.8,0,29.4,54718,1.2,0.79,9311,31.4%,1.3%,0.9%
Kaunas University of Technology,0,0,134846,5.5,2.3,11.3,70889,3.8,0.98,9502,50%,0.4%,3.1%
Universidade Federal de São Carlos,0.4,0.25,273610,12.6,3.4,14.1,39990,11.5,0.94,440,33.4%,6.3%,2.2%
Tamkang University,0,0.01,250965,24.5,4.5,12.2,86559,4.5,1.04,4033,47.4%,2.4%,2.1%
Prince of Songkla University,0.03,0.05,248032,8.2,0.0,5.8,73788,0.0,0.97,47432,40.1%,0.5%,2%
University of Lethbridge,-,0.06,-,-,0.0,13.8,13048,0.0,0.96,-,55.8%,-,N/A
Universidad Austral de Chile,0.15,0.06,185428,10.7,0,10.4,79346,0.5,1.15,23490,69.7%,14.4%,2.9%
University of Pecs,0.58,0.2,194404,4.8,0.5,12,110719,0.5,0.79,10967,43.8%,2.3%,40.7%
UFG - Universidade Federal de Goiás,0.16,0.12,177216,11.6,1.7,8.5,52158,1.7,0.9,2065,32.9%,3.5%,1%
Makerere University,0.01,0.03,248,9.7,0.2,5.6,115,0.2,1.08,18,72.3%,9.2%,6.4%
Kharazmi University,0.21,0.23,106445,12.4,0.0,14,15936,0.0,0.98,4714,27.1%,0%,1.5%
Thammasat University,0.01,0.04,252700,13.8,0.5,12.8,37165,0.5,0.82,24099,35.9%,4.5%,0.8%
Dokuz Eylul University,0.01,0.01,73258,15.7,0.7,13.9,3125,0,0.86,11,22.5%,0%,2.7%
Ankara University,0.19,0.13,128785,13.7,2.2,4.7,13937,2.5,0.89,1636,38.2%,0.6%,3.3%
Universidade Estadual de Londrina,0.37,0.29,98893,12.7,1.6,9.3,24397,0.6,0.85,8840,24.5%,0.9%,1%
Universidade Federal da Bahia,0.17,0.09,103991,9.8,1.7,3.5,3637,2.2,0.75,269,30.2%,7.2%,0.3%
Universidad Nacional de Educacion a Distancia,0.05,0.08,-,33.9,0.0,11.8,-,0.0,1.19,-,39.3%,1.7%,17.5%
Chungnam National University,0.05,0.21,-,22.5,8.5,33.5,196855,6.5,0.83,10580,30%,2.4%,1.6%
Canterbury Christ Church University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Pusan National University,0.06,0.29,938048,20.5,12.2,44.1,348538,6.6,1.03,18853,32.5%,4.6%,6.1%
De La Salle University,0.38,0.09,77528,5.2,1.1,8.9,11626,0.5,1.04,0,34.8%,0.9%,2.2%
"University of the Sunshine Coast, Australia",N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Ege University,0.01,0.06,294916,26,0.7,14.1,47172,0.7,0.83,3043,29.7%,5.8%,2.4%
