,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.2,0.17,293323,5.1,0.6,1.6,224962,1.9,0.95,224254,22.5%,0.8%,2.2%
Mohammed V University of Rabat,9.05,2.1,115404,24.3,0.0,3.3,46593,0.0,0.79,14526,30%,0%,9.2%
University of Sfax,0.72,0.57,5344,6.9,3.7,3.7,706,7.5,0.98,649,45%,0%,5.4%
Khon Kaen University,0.11,0.1,626088,7.6,9.2,3.3,74511,6.9,0.84,36291,37.5%,1.4%,3.1%
Chapman University,2.02,1.65,-,12.3,0.0,5.4,26611,0.0,1.38,90,33%,5.2%,5.8%
Universitas Sebelas Maret,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Antioquia,0.02,0.03,-,8.5,0.4,2.5,78814,2.6,0.96,4586,44.1%,1.1%,0.2%
Universitas Padjadjaran,0.19,0.25,50372,6.5,3.1,1.1,12721,7.2,0.8,7617,25.8%,5.1%,3.1%
Universidad Nacional de Cordoba,0.02,0.01,56950,12.7,2,0.4,2040,1.7,1.2,869,48.9%,1.3%,2.2%
Universidad del Norte,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Federal University of Viçosa,0.25,0.14,335105,17.9,2.4,20,8494,1.5,0.86,144,27.7%,0%,0.8%
Kangwon National University,0.07,0.15,281768,10.1,2.8,12.6,51452,4.7,1,1001,24.2%,0%,0.9%
Beijing Jiaotong University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Calcutta,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
University of Central Lancashire,0.02,0.07,N/A,13.1,0,5.3,9514,1,1.48,276,46.9%,11.5%,21.4%
Vietnam National University - Ho Chi Minh City (VNU-HCM),N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Marmara University,0.04,0.09,243791,15.1,2.2,3.1,3376,1.9,1.02,345,23%,0.5%,6.5%
Obafemi Awolowo University (OAU),0.02,0.05,34489,15.9,5.7,7.7,1128,3.1,1.36,0,46.5%,0%,0.2%
University of Tunis El Manar,0.44,0.34,31302,4.8,3.7,2.5,11727,3.7,1.15,1253,35.5%,0.1%,2%
Rowan University,1.28,1.13,745208,9.6,0.0,6.4,30578,0.0,1.41,22,22.2%,9.1%,2.8%
Chungbuk National University,0.24,0.28,227717,7.8,0,12,113309,0.9,1.26,9961,18.3%,0%,1.1%
Kaunas University of Technology,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Universidade Federal de São Carlos,0.38,0.22,193867,8.7,2.4,10.4,20909,7.5,0.83,110,34.1%,1.2%,1.8%
Tamkang University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Prince of Songkla University,0.03,0.03,783831,6,4,2.6,78651,5.9,0.83,30156,37.5%,1.3%,1.9%
University of Lethbridge,-,0.02,-,-,0,4.9,47520,2.6,1.07,-,39.9%,-,N/A
Universidad Austral de Chile,0,0,206320,18.5,0,3.3,17261,1.6,0.89,5592,64.1%,1.3%,0.5%
University of Pecs,1.4,0.77,774777,11.8,8.3,3.7,57336,7.9,1.25,6288,47%,3.2%,37.9%
UFG - Universidade Federal de Goiás,0.24,0.31,106605,14,1,4.2,85154,0.9,1.08,2097,30.5%,0%,1.1%
Makerere University,0.01,0.03,436,11.9,7.7,6.6,259,10.3,1.25,16,84.9%,8.9%,7.6%
Kharazmi University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Thammasat University,0.03,0.04,676222,5.1,4.7,1.6,27647,4.9,0.8,13546,35.2%,2.5%,0.8%
Dokuz Eylul University,0.2,0.17,293323,5.1,0.6,1.6,224962,1.9,0.95,224254,22.5%,0.8%,2.2%
Ankara University,0.05,0.05,206475,7.2,4.7,1.6,23630,6.7,1.13,2043,23.2%,1.1%,7.4%
Universidade Estadual de Londrina,0.05,0.05,401363,6.4,1.9,3.9,225759,2.9,1.05,62903,33.6%,0.6%,0.9%
Universidade Federal da Bahia,0.2,0.14,294437,11.8,4.4,2.9,7476,5.3,1.27,553,31%,1.5%,0.3%
Universidad Nacional de Educacion a Distancia,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
Chungnam National University,0.64,0.41,-,8.5,2.2,10.7,177043,1.2,1.17,10529,17.5%,2.4%,2.8%
Canterbury Christ Church University,0,0,N/A,15.5,2.4,3.5,8120,2.4,1.13,0,25.8%,5.6%,18.3%
Pusan National University,0.33,0.3,412133,9,2.8,25.5,161474,3.8,0.91,6694,16.4%,0%,1.1%
De La Salle University,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
"University of the Sunshine Coast, Australia",0.02,0.13,528452,27.1,1,13,63879,0.5,1.28,29583,47.9%,14.9%,23.4%
Ege University,0.16,0.29,983447,10.7,2.3,5,44071,4.1,0.98,30937,23.4%,0.6%,5%
